electricity,irradiance_direct,irradiance_diffuse,temperature,irradiance_total
0.0,0.0,0.0,28.297,0.0
0.0,0.0,0.0,27.817,0.0
0.0,0.0,0.0,27.232,0.0
0.0,0.0,0.0,19.005,0.0
0.0,0.0,0.0,18.787,0.0
0.0,0.0,0.0,17.9,0.0
0.013000000000000001,0.012,0.013000000000000001,17.427,0.025
0.248,0.209,0.058,20.568,0.267
0.487,0.467,0.067,23.949,0.534
0.667,0.6940000000000001,0.07200000000000001,26.861,0.766
0.784,0.869,0.077,29.919,0.946
0.845,0.977,0.08,32.845,1.057
0.859,1.01,0.081,34.403,1.091
0.8260000000000001,0.964,0.08,35.263,1.044
0.744,0.841,0.078,35.595,0.9189999999999999
0.609,0.649,0.076,35.333,0.725
0.42,0.41100000000000003,0.07200000000000001,34.446,0.48300000000000004
0.183,0.152,0.06,32.355,0.212
0.002,0.003,0.007,27.372,0.01
0.0,0.0,0.0,25.768,0.0
0.0,0.0,0.0,24.796,0.0
0.0,0.0,0.0,23.876,0.0
0.0,0.0,0.0,22.958,0.0
0.0,0.0,0.0,22.026,0.0
0.0,0.0,0.0,21.133,0.0
0.0,0.0,0.0,20.508,0.0
0.0,0.0,0.0,20.187,0.0
0.0,0.0,0.0,19.719,0.0
0.0,0.0,0.0,18.875,0.0
0.0,0.0,0.0,18.2,0.0
0.014,0.013000000000000001,0.013000000000000001,18.107,0.026000000000000002
0.254,0.217,0.055,20.548000000000002,0.272
0.493,0.47600000000000003,0.064,23.646,0.54
0.673,0.704,0.069,26.867,0.7729999999999999
0.786,0.877,0.074,30.643,0.951
0.844,0.982,0.078,33.475,1.06
0.857,1.012,0.08,34.926,1.092
0.8250000000000001,0.966,0.079,35.824,1.045
0.744,0.847,0.077,36.21,0.9239999999999999
0.608,0.651,0.075,35.974,0.726
0.419,0.41100000000000003,0.07200000000000001,35.102,0.48300000000000004
0.18,0.148,0.061,32.93,0.209
0.002,0.003,0.007,27.774,0.01
0.0,0.0,0.0,26.103,0.0
0.0,0.0,0.0,25.019,0.0
0.0,0.0,0.0,23.958,0.0
0.0,0.0,0.0,22.924,0.0
0.0,0.0,0.0,21.956,0.0
0.0,0.0,0.0,21.066,0.0
0.0,0.0,0.0,20.221,0.0
0.0,0.0,0.0,19.417,0.0
0.0,0.0,0.0,18.665,0.0
0.0,0.0,0.0,17.96,0.0
0.0,0.0,0.0,17.278,0.0
0.013000000000000001,0.011,0.013000000000000001,17.062,0.024
0.248,0.20500000000000002,0.06,19.854,0.265
0.484,0.457,0.07200000000000001,23.581,0.529
0.65,0.661,0.084,27.106,0.745
0.766,0.8290000000000001,0.09,29.966,0.919
0.8270000000000001,0.931,0.095,32.485,1.026
0.839,0.9570000000000001,0.098,33.966,1.0550000000000002
0.806,0.911,0.097,34.856,1.008
0.724,0.792,0.095,35.275,0.887
0.59,0.607,0.091,35.119,0.698
0.402,0.374,0.08600000000000001,34.336,0.46
0.168,0.127,0.069,32.702,0.196
0.002,0.003,0.007,28.39,0.01
0.0,0.0,0.0,26.756,0.0
0.0,0.0,0.0,25.684,0.0
0.0,0.0,0.0,24.602,0.0
0.0,0.0,0.0,23.557,0.0
0.0,0.0,0.0,22.607,0.0
0.0,0.0,0.0,21.73,0.0
0.0,0.0,0.0,20.91,0.0
0.0,0.0,0.0,20.152,0.0
0.0,0.0,0.0,19.509,0.0
0.0,0.0,0.0,18.944,0.0
0.0,0.0,0.0,18.3,0.0
0.014,0.013000000000000001,0.013000000000000001,17.762,0.026000000000000002
0.252,0.214,0.057,19.676,0.271
0.491,0.46900000000000003,0.066,23.167,0.535
0.668,0.6960000000000001,0.07200000000000001,26.89,0.768
0.783,0.871,0.076,30.488,0.947
0.842,0.978,0.079,33.469,1.057
0.858,1.014,0.079,34.965,1.093
0.8260000000000001,0.97,0.078,35.882,1.048
0.746,0.851,0.075,36.32,0.9259999999999999
0.613,0.662,0.07200000000000001,36.156,0.734
0.425,0.423,0.068,35.349,0.491
0.187,0.16,0.057,33.222,0.217
0.002,0.004,0.007,27.968,0.011
0.0,0.0,0.0,26.333,0.0
0.0,0.0,0.0,25.431,0.0
0.0,0.0,0.0,24.487,0.0
