electricity,irradiance_direct,irradiance_diffuse,temperature,irradiance_total
0.0,0.0,0.0,27.502,0.0
0.0,0.0,0.0,27.107,0.0
0.0,0.0,0.0,26.54,0.0
0.0,0.0,0.003,26.005,0.003
0.11800000000000001,0.064,0.075,27.489,0.139
0.343,0.263,0.11900000000000001,29.681,0.382
0.553,0.519,0.11800000000000001,31.7,0.637
0.6920000000000001,0.713,0.11900000000000001,33.362,0.832
0.777,0.845,0.11900000000000001,34.746,0.964
0.806,0.898,0.11800000000000001,35.835,1.016
0.784,0.868,0.11900000000000001,36.529,0.987
0.711,0.759,0.11800000000000001,36.832,0.877
0.577,0.5640000000000001,0.123,36.658,0.687
0.39,0.328,0.123,36.054,0.451
0.17200000000000001,0.109,0.093,35.018,0.202
0.008,0.006,0.014,32.509,0.02
0.0,0.0,0.0,30.767,0.0
0.0,0.0,0.0,30.017,0.0
0.0,0.0,0.0,29.403,0.0
0.0,0.0,0.0,28.838,0.0
0.0,0.0,0.0,28.506,0.0
0.0,0.0,0.0,28.346,0.0
0.0,0.0,0.0,27.862,0.0
0.0,0.0,0.0,27.393,0.0
0.0,0.0,0.0,27.003,0.0
0.0,0.0,0.0,26.576,0.0
0.0,0.0,0.0,26.028,0.0
0.0,0.001,0.003,25.319,0.004
0.115,0.061,0.075,26.851,0.136
0.329,0.23700000000000002,0.128,29.029,0.365
0.532,0.47600000000000003,0.133,31.252,0.609
0.679,0.682,0.129,33.135,0.811
0.765,0.8190000000000001,0.126,34.685,0.9450000000000001
0.8,0.886,0.121,35.858,1.0070000000000001
0.794,0.893,0.11,36.658,1.0030000000000001
0.724,0.79,0.107,36.968,0.897
0.601,0.619,0.10200000000000001,36.756,0.721
0.425,0.397,0.096,36.044,0.493
0.201,0.156,0.078,34.832,0.23399999999999999
0.01,0.008,0.014,32.508,0.022
0.0,0.0,0.0,30.858,0.0
0.0,0.0,0.0,30.1,0.0
0.0,0.0,0.0,29.446,0.0
0.0,0.0,0.0,28.809,0.0
0.0,0.0,0.0,28.332,0.0
0.0,0.0,0.0,27.988,0.0
0.0,0.0,0.0,27.551,0.0
0.0,0.0,0.0,27.121,0.0
0.0,0.0,0.0,26.695,0.0
0.0,0.0,0.0,26.244,0.0
0.0,0.0,0.0,25.75,0.0
0.0,0.0,0.003,25.281,0.003
0.113,0.058,0.076,27.017,0.134
0.324,0.229,0.131,29.425,0.36
0.546,0.504,0.125,31.633,0.629
0.7000000000000001,0.73,0.114,33.512,0.844
0.783,0.861,0.114,34.993,0.975
0.8,0.884,0.123,36.066,1.0070000000000001
0.78,0.859,0.122,36.815,0.981
0.709,0.755,0.12,37.205,0.875
0.583,0.581,0.117,37.121,0.698
0.404,0.355,0.113,36.555,0.46799999999999997
0.178,0.11800000000000001,0.091,35.473,0.20900000000000002
0.007,0.005,0.013000000000000001,33.009,0.018000000000000002
0.0,0.0,0.0,31.417,0.0
0.0,0.0,0.0,30.655,0.0
0.0,0.0,0.0,29.952,0.0
0.0,0.0,0.0,29.303,0.0
0.0,0.0,0.0,28.722,0.0
0.0,0.0,0.0,28.155,0.0
0.0,0.0,0.0,27.681,0.0
0.0,0.0,0.0,27.288,0.0
0.0,0.0,0.0,27.118,0.0
0.0,0.0,0.0,26.936,0.0
0.0,0.0,0.0,26.64,0.0
0.0,0.0,0.003,26.292,0.003
0.095,0.038,0.077,27.784,0.11499999999999999
0.309,0.202,0.14300000000000002,30.174,0.34500000000000003
0.531,0.47400000000000003,0.138,32.52,0.6120000000000001
0.677,0.683,0.133,34.493,0.8160000000000001
0.763,0.8200000000000001,0.131,36.049,0.9510000000000001
0.766,0.81,0.151,36.953,0.9610000000000001
0.75,0.79,0.149,37.535,0.9390000000000001
0.68,0.6940000000000001,0.14300000000000002,37.718,0.8370000000000001
0.59,0.593,0.116,37.63,0.709
0.40800000000000003,0.363,0.111,36.986,0.474
0.186,0.13,0.088,35.853,0.218
0.008,0.006,0.014,33.551,0.02
0.0,0.0,0.0,31.96,0.0
0.0,0.0,0.0,31.263,0.0
0.0,0.0,0.0,30.654,0.0
0.0,0.0,0.0,30.322,0.0
0.0,0.0,0.0,29.932,0.0
0.0,0.0,0.0,29.037,0.0
0.0,0.0,0.0,28.243,0.0
0.0,0.0,0.0,27.62,0.0
0.0,0.0,0.0,27.29,0.0
0.0,0.0,0.0,27.147,0.0
0.0,0.0,0.0,27.038,0.0
0.0,0.0,0.002,26.852,0.002
0.046,0.006,0.058,27.669,0.064
0.164,0.027,0.161,29.219,0.188
0.294,0.069,0.26,30.556,0.329
0.4,0.11900000000000001,0.333,31.483,0.452
0.511,0.216,0.372,32.358,0.588
0.626,0.406,0.335,33.42,0.7410000000000001
0.716,0.643,0.229,34.575,0.872
0.683,0.649,0.179,35.222,0.8280000000000001
0.5740000000000001,0.522,0.156,35.323,0.678
0.398,0.316,0.14100000000000001,34.782,0.457
0.17300000000000001,0.098,0.10400000000000001,33.649,0.202
0.007,0.004,0.014,31.785,0.018000000000000002
0.0,0.0,0.0,30.541,0.0
0.0,0.0,0.0,29.831,0.0
0.0,0.0,0.0,29.175,0.0
0.0,0.0,0.0,28.555,0.0
0.0,0.0,0.0,28.025,0.0
0.0,0.0,0.0,27.611,0.0
0.0,0.0,0.0,27.241,0.0
0.0,0.0,0.0,26.975,0.0
0.0,0.0,0.0,26.751,0.0
0.0,0.0,0.0,26.509,0.0
0.0,0.0,0.0,26.232,0.0
0.0,0.0,0.003,25.96,0.003
0.068,0.016,0.07100000000000001,27.158,0.08700000000000001
0.233,0.088,0.17400000000000002,29.235,0.262
0.47300000000000003,0.337,0.2,31.177,0.537
0.649,0.593,0.176,32.737,0.7689999999999999
0.748,0.75,0.166,33.997,0.916
0.748,0.729,0.192,34.803,0.921
0.716,0.671,0.20500000000000002,35.306,0.8760000000000001
0.632,0.546,0.211,35.433,0.757
0.516,0.40800000000000003,0.195,35.259,0.603
0.35100000000000003,0.23700000000000002,0.165,34.702,0.402
0.159,0.083,0.105,33.759,0.188
0.007,0.004,0.014,32.023,0.018000000000000002
0.0,0.0,0.0,30.694,0.0
0.0,0.0,0.0,30.456,0.0
0.0,0.0,0.0,30.229,0.0
0.0,0.0,0.0,29.75,0.0
0.0,0.0,0.0,29.265,0.0
0.0,0.0,0.0,28.872,0.0
0.0,0.0,0.0,28.453,0.0
0.0,0.0,0.0,28.024,0.0
0.0,0.0,0.0,27.626,0.0
0.0,0.0,0.0,27.285,0.0
0.0,0.0,0.0,26.951,0.0
0.0,0.0,0.003,26.581,0.003
0.082,0.026000000000000002,0.076,27.567,0.10200000000000001
0.267,0.128,0.171,29.451,0.29900000000000004
0.391,0.2,0.24,31.048,0.44
0.548,0.378,0.257,32.599,0.635
0.7020000000000001,0.648,0.202,34.213,0.8500000000000001
0.794,0.849,0.146,35.591,0.995
0.778,0.837,0.138,36.366,0.975
0.686,0.6900000000000001,0.15,36.55,0.8400000000000001
0.5740000000000001,0.546,0.137,36.408,0.683
0.41000000000000003,0.357,0.117,35.878,0.474
0.191,0.134,0.089,34.839,0.223
0.009000000000000001,0.006,0.014,32.521,0.02
0.0,0.0,0.0,30.855,0.0
0.0,0.0,0.0,30.152,0.0
0.0,0.0,0.0,29.493,0.0
0.0,0.0,0.0,28.893,0.0
0.0,0.0,0.0,28.375,0.0
0.0,0.0,0.0,27.846,0.0
0.0,0.0,0.0,27.553,0.0
0.0,0.0,0.0,27.447,0.0
0.0,0.0,0.0,27.221,0.0
0.0,0.0,0.0,26.817,0.0
0.0,0.0,0.0,26.405,0.0
0.0,0.0,0.003,26.069,0.003
0.08600000000000001,0.03,0.076,27.4,0.106
0.28700000000000003,0.166,0.155,29.533,0.321
0.506,0.422,0.158,31.68,0.58
0.6980000000000001,0.719,0.121,33.58,0.84
0.794,0.882,0.11,35.104,0.992
0.8220000000000001,0.935,0.109,36.238,1.044
0.8,0.906,0.109,36.974,1.0150000000000001
0.731,0.804,0.106,37.293,0.91
0.605,0.622,0.105,37.121,0.727
0.40900000000000003,0.363,0.111,36.43,0.474
0.176,0.115,0.092,35.269,0.20700000000000002
0.009000000000000001,0.006,0.014,32.786,0.02
0.0,0.0,0.0,31.089,0.0
0.0,0.0,0.0,30.418,0.0
0.0,0.0,0.0,29.833,0.0
0.0,0.0,0.0,29.335,0.0
0.0,0.0,0.0,28.827,0.0
0.0,0.0,0.0,28.417,0.0
0.0,0.0,0.0,27.939,0.0
0.0,0.0,0.0,27.435,0.0
0.0,0.0,0.0,27.214,0.0
0.0,0.0,0.0,26.939,0.0
0.0,0.0,0.0,26.611,0.0
0.0,0.0,0.003,26.376,0.003
0.062,0.012,0.069,27.742,0.081
0.168,0.033,0.16,29.455,0.193
0.331,0.115,0.257,31.238,0.372
0.607,0.494,0.221,33.336,0.715
0.774,0.8170000000000001,0.145,35.157,0.9620000000000001
0.79,0.842,0.151,36.243,0.993
0.755,0.781,0.163,36.765,0.9440000000000001
0.678,0.662,0.166,36.864,0.8280000000000001
0.55,0.487,0.164,36.526,0.651
0.374,0.28,0.15,35.838,0.43000000000000005
0.16,0.084,0.105,34.77,0.189
0.006,0.003,0.013000000000000001,32.944,0.016
0.0,0.0,0.0,31.525,0.0
0.0,0.0,0.0,30.965,0.0
0.0,0.0,0.0,30.42,0.0
0.0,0.0,0.0,29.931,0.0
0.0,0.0,0.0,29.456,0.0
0.0,0.0,0.0,28.861,0.0
0.0,0.0,0.0,28.213,0.0
0.0,0.0,0.0,27.633,0.0
0.0,0.0,0.0,27.284,0.0
0.0,0.0,0.0,27.035,0.0
0.0,0.0,0.0,26.956,0.0
0.0,0.0,0.002,26.768,0.002
0.051000000000000004,0.007,0.062,27.774,0.069
0.163,0.026000000000000002,0.162,29.167,0.188
0.308,0.077,0.268,30.44,0.34500000000000003
0.463,0.191,0.336,31.863,0.527
0.618,0.399,0.332,33.469,0.7310000000000001
0.609,0.363,0.359,34.46,0.722
0.585,0.336,0.356,35.13,0.692
0.551,0.337,0.313,35.572,0.65
0.47200000000000003,0.294,0.256,35.743,0.55
0.322,0.171,0.198,35.389,0.369
0.14200000000000002,0.055,0.115,34.56,0.17
0.005,0.002,0.013000000000000001,32.554,0.015000000000000001
0.0,0.0,0.0,31.35,0.0
0.0,0.0,0.0,30.81,0.0
0.0,0.0,0.0,30.122,0.0
0.0,0.0,0.0,29.426,0.0
0.0,0.0,0.0,28.653,0.0
0.0,0.0,0.0,27.833,0.0
0.0,0.0,0.0,27.11,0.0
0.0,0.0,0.0,26.59,0.0
0.0,0.0,0.0,26.193,0.0
0.0,0.0,0.0,25.896,0.0
0.0,0.0,0.0,25.562,0.0
0.0,0.001,0.004,25.212,0.005
0.153,0.109,0.066,27.039,0.175
0.385,0.338,0.093,30.11,0.43100000000000005
0.5750000000000001,0.5680000000000001,0.101,32.39,0.669
0.712,0.759,0.10400000000000001,34.147,0.863
0.789,0.877,0.11,35.554,0.987
0.787,0.859,0.132,36.453,0.991
0.757,0.807,0.14,37.069,0.9470000000000001
0.6950000000000001,0.725,0.131,37.352,0.856
0.58,0.5750000000000001,0.12,37.24,0.6950000000000001
0.405,0.359,0.111,36.654,0.47
0.183,0.127,0.088,35.572,0.215
0.008,0.006,0.014,33.2,0.02
0.0,0.0,0.0,31.59,0.0
0.0,0.0,0.0,30.934,0.0
0.0,0.0,0.0,30.297,0.0
0.0,0.0,0.0,29.611,0.0
0.0,0.0,0.0,29.132,0.0
0.0,0.0,0.0,28.875,0.0
0.0,0.0,0.0,28.695,0.0
0.0,0.0,0.0,28.321,0.0
0.0,0.0,0.0,27.922,0.0
0.0,0.0,0.0,27.594,0.0
0.0,0.0,0.0,27.299,0.0
0.0,0.0,0.001,26.998,0.001
