electricity,irradiance_direct,irradiance_diffuse,temperature,irradiance_total
0.0,0.0,0.0,24.303,0.0
0.0,0.0,0.0,24.021,0.0
0.0,0.0,0.0,23.801,0.0
0.0,0.0,0.0,22.307,0.0
0.0,0.0,0.0,21.942,0.0
0.0,0.0,0.0,21.597,0.0
0.013000000000000001,0.001,0.024,21.823,0.025
0.186,0.131,0.076,23.923000000000002,0.20700000000000002
0.401,0.355,0.08600000000000001,26.25,0.441
0.578,0.5650000000000001,0.092,28.341,0.657
0.6990000000000001,0.728,0.096,30.07,0.824
0.766,0.8270000000000001,0.099,31.476,0.926
0.778,0.849,0.10200000000000001,32.574,0.951
0.744,0.806,0.1,33.292,0.906
0.66,0.6910000000000001,0.096,33.567,0.787
0.524,0.517,0.09,33.335,0.607
0.338,0.299,0.084,32.473,0.383
0.128,0.083,0.069,30.21,0.15200000000000002
0.002,0.0,0.009000000000000001,26.633,0.009000000000000001
0.0,0.0,0.0,25.317,0.0
0.0,0.0,0.0,24.622,0.0
0.0,0.0,0.0,24.127,0.0
0.0,0.0,0.0,23.786,0.0
0.0,0.0,0.0,23.465,0.0
0.0,0.0,0.0,23.092,0.0
0.0,0.0,0.0,22.69,0.0
0.0,0.0,0.0,22.265,0.0
0.0,0.0,0.0,21.81,0.0
0.0,0.0,0.0,21.358,0.0
0.0,0.0,0.0,20.857,0.0
0.013000000000000001,0.001,0.023,20.955,0.024
0.189,0.135,0.074,23.059,0.20900000000000002
0.40700000000000003,0.364,0.082,25.796,0.446
0.585,0.581,0.08600000000000001,28.534,0.6669999999999999
0.706,0.745,0.09,30.446,0.835
0.771,0.844,0.094,31.87,0.938
0.785,0.869,0.096,32.974,0.965
0.748,0.8180000000000001,0.096,33.693,0.914
0.66,0.6950000000000001,0.094,33.925,0.789
0.522,0.515,0.091,33.581,0.606
0.336,0.295,0.08600000000000001,32.635,0.381
0.126,0.08,0.07,30.553,0.15000000000000002
0.002,0.0,0.009000000000000001,27.287,0.009000000000000001
0.0,0.0,0.0,25.981,0.0
0.0,0.0,0.0,25.275,0.0
0.0,0.0,0.0,24.811,0.0
0.0,0.0,0.0,24.462,0.0
0.0,0.0,0.0,24.141,0.0
0.0,0.0,0.0,23.839,0.0
0.0,0.0,0.0,23.475,0.0
0.0,0.0,0.0,23.068,0.0
0.0,0.0,0.0,22.663,0.0
0.0,0.0,0.0,22.261,0.0
