electricity,irradiance_direct,irradiance_diffuse,temperature,irradiance_total
0.0,0.0,0.0,23.979,0.0
0.0,0.0,0.0,23.994,0.0
0.0,0.0,0.0,24.063,0.0
0.0,0.0,0.0,24.091,0.0
0.0,0.0,0.0,24.046,0.0
0.008,0.0,0.019,24.206,0.019
0.108,0.013000000000000001,0.114,25.415,0.127
0.268,0.073,0.224,26.842,0.297
0.438,0.202,0.28600000000000003,28.488,0.48800000000000004
0.531,0.277,0.327,29.977,0.6040000000000001
0.603,0.361,0.339,31.151,0.7
0.635,0.423,0.323,31.988,0.746
0.639,0.47500000000000003,0.278,32.546,0.7530000000000001
0.5710000000000001,0.41100000000000003,0.253,32.667,0.664
0.421,0.229,0.249,32.132,0.478
0.261,0.099,0.195,31.196,0.29400000000000004
0.098,0.02,0.1,29.661,0.12000000000000001
0.001,0.0,0.008,27.473,0.008
0.0,0.0,0.0,26.456,0.0
0.0,0.0,0.0,25.862,0.0
0.0,0.0,0.0,25.475,0.0
0.0,0.0,0.0,25.161,0.0
0.0,0.0,0.0,24.816,0.0
0.0,0.0,0.0,24.524,0.0
0.0,0.0,0.0,24.297,0.0
0.0,0.0,0.0,24.136,0.0
0.0,0.0,0.0,24.08,0.0
0.0,0.0,0.0,24.022,0.0
0.0,0.0,0.0,23.996,0.0
0.011,0.0,0.023,24.363,0.023
0.134,0.033,0.122,25.731,0.155
0.306,0.138,0.199,26.899,0.337
0.47600000000000003,0.312,0.221,28.318,0.533
0.624,0.524,0.199,29.871,0.7230000000000001
0.712,0.672,0.177,31.233,0.849
0.74,0.728,0.165,32.146,0.893
0.713,0.7000000000000001,0.156,32.547,0.8560000000000001
0.636,0.606,0.14400000000000002,32.528,0.75
0.501,0.437,0.137,32.031,0.5740000000000001
0.324,0.242,0.122,31.029,0.364
0.122,0.057,0.088,29.37,0.145
0.002,0.0,0.009000000000000001,27.126,0.009000000000000001
0.0,0.0,0.0,26.0,0.0
0.0,0.0,0.0,25.359,0.0
0.0,0.0,0.0,24.931,0.0
0.0,0.0,0.0,24.595,0.0
0.0,0.0,0.0,24.289,0.0
0.0,0.0,0.0,24.008,0.0
0.0,0.0,0.0,23.724,0.0
0.0,0.0,0.0,23.497,0.0
0.0,0.0,0.0,23.386,0.0
0.0,0.0,0.0,23.396,0.0
0.0,0.0,0.0,23.461,0.0
0.013000000000000001,0.0,0.025,23.884,0.025
0.17500000000000002,0.10300000000000001,0.094,25.742,0.197
0.381,0.305,0.115,27.436,0.42
0.552,0.505,0.124,29.298,0.629
0.679,0.677,0.124,31.024,0.801
0.742,0.766,0.13,32.249,0.896
0.752,0.779,0.137,33.014,0.916
0.717,0.731,0.137,33.379,0.868
0.639,0.628,0.129,33.348,0.757
0.505,0.46,0.122,32.895,0.5820000000000001
0.323,0.249,0.115,31.958,0.364
0.115,0.05,0.088,30.278,0.138
0.001,0.0,0.009000000000000001,27.995,0.009000000000000001
0.0,0.0,0.0,26.838,0.0
0.0,0.0,0.0,26.109,0.0
0.0,0.0,0.0,25.546,0.0
0.0,0.0,0.0,25.089,0.0
0.0,0.0,0.0,24.684,0.0
0.0,0.0,0.0,24.32,0.0
0.0,0.0,0.0,24.028,0.0
0.0,0.0,0.0,23.815,0.0
0.0,0.0,0.0,23.695,0.0
0.0,0.0,0.0,23.677,0.0
0.0,0.0,0.0,23.722,0.0
0.013000000000000001,0.0,0.025,24.165,0.025
0.154,0.058,0.11800000000000001,26.164,0.17600000000000002
0.35100000000000003,0.23,0.158,27.919,0.388
0.532,0.446,0.158,29.667,0.604
0.654,0.609,0.161,31.331,0.77
0.715,0.6890000000000001,0.17,32.551,0.8590000000000001
0.724,0.6970000000000001,0.18,33.316,0.877
0.686,0.638,0.186,33.652,0.8240000000000001
0.595,0.508,0.191,33.518,0.6990000000000001
0.458,0.335,0.188,32.951,0.523
0.28300000000000003,0.152,0.167,31.919,0.319
0.10400000000000001,0.03,0.096,30.298,0.126
0.001,0.0,0.008,28.18,0.008
0.0,0.0,0.0,27.096,0.0
0.0,0.0,0.0,26.398,0.0
0.0,0.0,0.0,25.84,0.0
0.0,0.0,0.0,25.372,0.0
0.0,0.0,0.0,24.991,0.0
0.0,0.0,0.0,24.712,0.0
0.0,0.0,0.0,24.553,0.0
0.0,0.0,0.0,24.403,0.0
0.0,0.0,0.0,24.338,0.0
0.0,0.0,0.0,24.227,0.0
0.0,0.0,0.0,24.223,0.0
0.013000000000000001,0.0,0.025,24.677,0.025
0.163,0.077,0.108,26.531,0.185
0.36,0.26,0.138,28.108,0.398
0.546,0.491,0.131,29.913,0.622
0.6890000000000001,0.704,0.115,31.73,0.819
0.753,0.8,0.11800000000000001,33.155,0.918
0.769,0.8290000000000001,0.11900000000000001,34.107,0.9480000000000001
0.734,0.779,0.11900000000000001,34.561,0.898
0.649,0.658,0.11800000000000001,34.481,0.776
0.505,0.464,0.121,33.893,0.585
0.322,0.251,0.114,32.827,0.365
0.12,0.059000000000000004,0.085,31.116,0.14400000000000002
0.001,0.0,0.009000000000000001,28.793,0.009000000000000001
0.0,0.0,0.0,27.576999999999998,0.0
0.0,0.0,0.0,26.841,0.0
0.0,0.0,0.0,26.328,0.0
0.0,0.0,0.0,25.909,0.0
0.0,0.0,0.0,25.539,0.0
0.0,0.0,0.0,25.192,0.0
0.0,0.0,0.0,24.9,0.0
0.0,0.0,0.0,24.666,0.0
0.0,0.0,0.0,24.458,0.0
0.0,0.0,0.0,24.3,0.0
0.0,0.0,0.0,24.218,0.0
0.013000000000000001,0.0,0.025,24.744,0.025
0.165,0.08,0.108,26.615,0.188
0.361,0.256,0.14300000000000002,28.21,0.399
0.531,0.451,0.154,29.905,0.605
0.641,0.584,0.169,31.567,0.753
0.7000000000000001,0.657,0.182,32.676,0.839
0.707,0.66,0.193,33.27,0.853
0.6900000000000001,0.653,0.176,33.578,0.829
0.62,0.5750000000000001,0.157,33.448,0.7320000000000001
0.496,0.43,0.14,32.896,0.5700000000000001
0.316,0.227,0.129,31.771,0.356
0.11800000000000001,0.052000000000000005,0.089,30.107,0.14100000000000001
0.002,0.0,0.009000000000000001,28.125,0.009000000000000001
0.0,0.0,0.0,27.026,0.0
0.0,0.0,0.0,26.431,0.0
0.0,0.0,0.0,26.042,0.0
0.0,0.0,0.0,25.709,0.0
0.0,0.0,0.0,25.432,0.0
0.0,0.0,0.0,25.229,0.0
0.0,0.0,0.0,25.039,0.0
0.0,0.0,0.0,24.914,0.0
0.0,0.0,0.0,24.809,0.0
0.0,0.0,0.0,24.683,0.0
0.0,0.0,0.0,24.576999999999998,0.0
0.013000000000000001,0.0,0.025,24.798000000000002,0.025
0.162,0.073,0.112,26.134,0.185
0.355,0.243,0.15,27.797,0.393
0.539,0.464,0.148,29.575,0.612
0.662,0.628,0.15,31.103,0.778
0.726,0.717,0.157,32.336,0.874
0.736,0.73,0.163,33.171,0.893
0.705,0.6920000000000001,0.16,33.635,0.8520000000000001
0.623,0.584,0.154,33.708,0.738
0.492,0.422,0.145,33.382,0.567
0.309,0.213,0.137,32.509,0.35
0.113,0.043000000000000003,0.093,30.951,0.136
0.001,0.0,0.009000000000000001,28.591,0.009000000000000001
0.0,0.0,0.0,27.326,0.0
0.0,0.0,0.0,26.627,0.0
0.0,0.0,0.0,26.221,0.0
0.0,0.0,0.0,25.906,0.0
0.0,0.0,0.0,25.574,0.0
0.0,0.0,0.0,25.167,0.0
0.0,0.0,0.0,24.775,0.0
0.0,0.0,0.0,24.477,0.0
0.0,0.0,0.0,24.295,0.0
0.0,0.0,0.0,24.219,0.0
0.0,0.0,0.0,24.269,0.0
0.013000000000000001,0.0,0.025,24.72,0.025
0.156,0.064,0.114,26.319,0.178
0.379,0.293,0.127,28.137,0.42
0.56,0.514,0.126,29.936,0.64
0.678,0.671,0.132,31.634,0.803
0.741,0.76,0.139,32.98,0.899
0.748,0.766,0.149,33.855,0.915
0.707,0.7000000000000001,0.157,34.203,0.8570000000000001
0.617,0.5700000000000001,0.161,34.08,0.7310000000000001
0.47500000000000003,0.381,0.165,33.429,0.546
0.297,0.184,0.153,32.3,0.33699999999999997
0.10200000000000001,0.03,0.095,30.596,0.125
0.001,0.0,0.008,28.627,0.008
0.0,0.0,0.0,27.436,0.0
0.0,0.0,0.0,26.749,0.0
0.0,0.0,0.0,26.379,0.0
0.0,0.0,0.0,26.138,0.0
0.0,0.0,0.0,25.921,0.0
0.0,0.0,0.0,25.714,0.0
0.0,0.0,0.0,25.477,0.0
0.0,0.0,0.0,25.26,0.0
0.0,0.0,0.0,25.056,0.0
0.0,0.0,0.0,24.871,0.0
0.0,0.0,0.0,24.708,0.0
0.012,0.0,0.024,24.985,0.024
0.158,0.07,0.111,26.278,0.181
0.368,0.275,0.133,27.93,0.40800000000000003
0.549,0.496,0.131,29.883,0.627
0.676,0.67,0.129,31.531,0.799
0.747,0.778,0.129,32.815,0.907
0.761,0.802,0.131,33.643,0.933
0.731,0.765,0.126,34.058,0.891
0.654,0.664,0.117,34.025,0.781
0.519,0.491,0.11,33.498,0.601
0.338,0.28300000000000003,0.099,32.46,0.382
0.131,0.08,0.075,30.767,0.155
0.002,0.0,0.009000000000000001,28.275,0.009000000000000001
0.0,0.0,0.0,26.927,0.0
0.0,0.0,0.0,26.136,0.0
0.0,0.0,0.0,25.603,0.0
0.0,0.0,0.0,25.17,0.0
0.0,0.0,0.0,24.752,0.0
0.0,0.0,0.0,24.335,0.0
0.0,0.0,0.0,23.96,0.0
0.0,0.0,0.0,23.664,0.0
0.0,0.0,0.0,23.527,0.0
0.0,0.0,0.0,23.557,0.0
0.0,0.0,0.0,23.646,0.0
0.012,0.0,0.024,24.034,0.024
0.176,0.108,0.091,25.924,0.199
0.394,0.333,0.10300000000000001,27.906,0.43600000000000005
0.5640000000000001,0.534,0.112,29.991,0.646
0.679,0.683,0.122,31.843,0.805
0.743,0.776,0.127,33.265,0.903
0.767,0.8250000000000001,0.121,34.298,0.9460000000000001
0.742,0.8,0.112,34.875,0.912
0.657,0.682,0.108,34.933,0.79
0.521,0.503,0.10400000000000001,34.427,0.607
0.334,0.28,0.1,33.3,0.38
0.129,0.078,0.076,31.413,0.154
0.002,0.0,0.009000000000000001,28.63,0.009000000000000001
0.0,0.0,0.0,27.167,0.0
0.0,0.0,0.0,26.319,0.0
0.0,0.0,0.0,25.762,0.0
0.0,0.0,0.0,25.319,0.0
0.0,0.0,0.0,24.897,0.0
0.0,0.0,0.0,24.597,0.0
0.0,0.0,0.0,24.592,0.0
0.0,0.0,0.0,24.63,0.0
0.0,0.0,0.0,24.59,0.0
0.0,0.0,0.0,24.486,0.0
0.0,0.0,0.0,24.324,0.0
0.012,0.0,0.024,24.52,0.024
0.159,0.066,0.115,26.269,0.181
0.373,0.276,0.137,28.162,0.41300000000000003
0.553,0.496,0.136,29.927,0.632
0.681,0.671,0.135,31.527,0.806
0.746,0.766,0.14,32.818,0.906
0.758,0.782,0.146,33.622,0.928
0.713,0.706,0.157,33.879,0.863
0.619,0.5630000000000001,0.168,33.59,0.7310000000000001
0.459,0.335,0.19,32.671,0.525
0.278,0.14200000000000002,0.171,31.338,0.31300000000000006
0.106,0.031,0.096,29.772,0.127
0.001,0.0,0.008,28.165,0.008
0.0,0.0,0.0,27.263,0.0
0.0,0.0,0.0,26.749,0.0
0.0,0.0,0.0,26.378,0.0
0.0,0.0,0.0,26.047,0.0
0.0,0.0,0.0,25.726,0.0
0.0,0.0,0.0,25.4,0.0
0.0,0.0,0.0,25.079,0.0
0.0,0.0,0.0,24.815,0.0
0.0,0.0,0.0,24.599,0.0
0.0,0.0,0.0,24.391,0.0
0.0,0.0,0.0,24.216,0.0
0.012,0.0,0.024,24.453,0.024
0.156,0.061,0.117,25.99,0.178
0.36,0.246,0.151,27.786,0.397
0.535,0.452,0.156,29.642,0.608
0.657,0.613,0.16,31.35,0.773
0.727,0.717,0.16,32.733,0.877
0.743,0.744,0.161,33.647,0.905
0.709,0.6990000000000001,0.16,34.086,0.8590000000000001
0.628,0.592,0.153,34.045,0.745
0.502,0.44,0.14,33.601,0.5800000000000001
0.316,0.225,0.133,32.581,0.358
0.114,0.044,0.093,30.934,0.137
0.001,0.0,0.008,28.641,0.008
0.0,0.0,0.0,27.176,0.0
0.0,0.0,0.0,26.339,0.0
0.0,0.0,0.0,25.855,0.0
0.0,0.0,0.0,25.506,0.0
0.0,0.0,0.0,25.194,0.0
0.0,0.0,0.0,24.895,0.0
0.0,0.0,0.0,24.585,0.0
0.0,0.0,0.0,24.284,0.0
0.0,0.0,0.0,24.103,0.0
0.0,0.0,0.0,24.046,0.0
0.0,0.0,0.0,23.888,0.0
0.012,0.0,0.023,23.955,0.023
0.153,0.057,0.117,25.334,0.17400000000000002
0.373,0.273,0.138,27.096,0.41100000000000003
0.557,0.5,0.134,28.992,0.634
0.672,0.646,0.145,30.826,0.791
0.729,0.723,0.156,32.406,0.879
0.742,0.743,0.161,33.591,0.904
0.707,0.6990000000000001,0.159,34.355,0.8580000000000001
0.627,0.596,0.15,34.64,0.746
0.503,0.45,0.134,34.366,0.5840000000000001
0.327,0.255,0.117,33.474,0.372
0.126,0.066,0.084,31.64,0.15000000000000002
0.002,0.0,0.009000000000000001,28.542,0.009000000000000001
0.0,0.0,0.0,27.062,0.0
0.0,0.0,0.0,26.241,0.0
0.0,0.0,0.0,25.773,0.0
0.0,0.0,0.0,25.452,0.0
0.0,0.0,0.0,25.171,0.0
0.0,0.0,0.0,24.847,0.0
0.0,0.0,0.0,24.446,0.0
0.0,0.0,0.0,24.041,0.0
0.0,0.0,0.0,23.71,0.0
0.0,0.0,0.0,23.451,0.0
0.0,0.0,0.0,23.354,0.0
0.011,0.0,0.022,23.644,0.022
0.13,0.031,0.12,25.278,0.151
0.326,0.17200000000000001,0.188,27.154,0.36
0.506,0.379,0.192,29.05,0.571
0.661,0.616,0.161,31.004,0.777
0.744,0.757,0.145,32.665,0.902
0.773,0.8190000000000001,0.133,33.881,0.9520000000000001
0.741,0.781,0.128,34.543,0.909
0.66,0.672,0.121,34.628,0.793
0.524,0.494,0.116,34.092,0.61
0.332,0.259,0.117,32.939,0.376
0.12,0.054,0.09,31.069,0.144
0.001,0.0,0.008,28.59,0.008
0.0,0.0,0.0,27.03,0.0
0.0,0.0,0.0,26.156,0.0
