Site_name,County,Institution,LCA_used,LCA_generation
Mawe_Mabomu_Primary_School,Kilifi,School,0.364945548,0.110627168
Maya_Island_Primary_School,Kilifi,School,0.478864899,0.110627168
Mazola_Dispensary,Kwale,Clinic,0.606724766,0.096605193
Mbararani_Primary_School,Kwale,School,0.782281218,0.109573572
Mbilini_Primary_School,Kwale,School,1.557522175,0.109573572
Mbita_Primary_School,Kwale,School,0.192788262,0.109573572
Mbulia_Dispensary,Taita_Taveta,Clinic,0.914487585,0.094343541
Mchinjirini_Primary_School,Kwale,School,0.238011835,0.109573572
Melikubwa_Primary_School,Kwale,School,0.454622432,0.109573572
Merti_Muslim_Primary_School,Isiolo,School,0.530143116,0.118228933
Mgange_Dawida_Health_centre,Taita_Taveta,Clinic,0.400560012,0.094343541
Mgange_Nyika_health_centre,Taita_Taveta,Clinic,0.634808232,0.094343541
Mikameni_Primary_School,Kwale,School,0.292119618,0.109573572
Mitangani_Primary_School,Kilifi,School,1.091460951,0.110627168
Mitangoni_Primary_School,Kilifi,School,0.392297802,0.110627168
Mitulani_Primary_School,Kilifi,School,0.417858648,0.110627168
Mitunguni_Primary_School,Kwale,School,0.870900731,0.109573572
Mkuluni_Primary_School,Kilifi,School,0.274896662,0.110627168
Mlilo_Primary_School,Taita_Taveta,School,0.554180188,0.108004941
Mlola_Primary_School,Kwale,School,0.544736627,0.109573572
Mogore_Primary_School,Isiolo,School,1.332647742,0.118228933
Mrima_Wa_Kuku_Primary_School,Kilifi,School,0.580534149,0.110627168
Mtsamviani_Secondary_School,Kwale,School,0.153564681,0.109573572
Mtsangatamu_Primary_School,Kwale,School,0.412014112,0.109573572
Mtumwa_Dispensary,Kwale,Clinic,0.271048334,0.096605193
Muchuro_Primary_School,Isiolo,School,2.601352564,0.118228933
Mugumoni_Primary_School,Kilifi,School,0.787501916,0.110627168
Muhumkulu_Primary_School,Kilifi,School,0.226660241,0.110627168
Munandanur_Primary_School,Isiolo,School,0.660922316,0.118228933
Mwaluvuno_Primary_School,Kwale,School,0.325364974,0.109573572
Mwamambi_Primary_School,Kwale,School,0.74091466,0.109573572
Mwamtsefu_Primary_School,Kwale,School,0.312113143,0.109573572
Mwangani_Primary_School,Kilifi,School,0.252881455,0.110627168
Mwangaza_Primary_School,Kwale,School,0.81432917,0.109573572
Mwanza_Primary_School,Kilifi,School,0.81046034,0.110627168
Mwanzwani_Primary_School,Kwale,School,0.376543569,0.109573572
Mwele_Primary_School,Kilifi,School,0.77565778,0.110627168
Mwembe_Kati_Dispensary,Kilifi,Clinic,0.361772455,0.096885219
Nabeiye_Primary_School,Turkana,School,0.702080019,0.127507926
Nagaa_Primary_School,Isiolo,School,0.787032892,0.118228933
Nakaalei_Primary_School,Turkana,School,0.602879252,0.127507926
Nakitoekakumon_Primary_School,Turkana,School,0.565915874,0.127507926
Namakat_Primary_School,Turkana,School,1.136904175,0.127507926
Namortung_a_Boys_Secondary_School,Turkana,School,0.229310097,0.127507926
Naroo_Primary_School,Turkana,School,0.523833553,0.127507926
Ndugu_Zangu_Integrated_Primary_School,Isiolo,School,0.462721569,0.118228933
Ngoloko_Primary_School,Kilifi,School,0.493753732,0.110627168
Nyango_Primary_School,Kwale,School,0.455462008,0.109573572
Paola_Katsuhanzala_Primary_School,Kilifi,School,0.324460461,0.110627168
Pumwani_Primary_School,Kilifi,School,0.206376898,0.110627168
Sagalato_Primary_School,Kwale,School,0.363060459,0.109573572
Sagalla_Health_Centre,Taita_Taveta,Clinic,0.281425923,0.094343541
Saghaighu_dispensary,Taita_Taveta,Clinic,0.340338565,0.094343541
Salim_Mvurya_Secondary_School,Kwale,School,0.329572808,0.109573572
Sembe_Primary_School,Kwale,School,0.614282021,0.109573572
Shakahola_Dispensary,Kilifi,Clinic,0.333928172,0.096885219
Shambani_Primary_School,Isiolo,School,0.304650549,0.118228933
Shauri_Moyo_Primary_School,Kwale,School,1.231417699,0.109573572
Silaloni_Primary_School,Kwale,School,0.277671154,0.109573572
Simanya_Primary_School,Kwale,School,0.385121807,0.109573572
Tata_Primary_School,Kwale,School,0.404143151,0.109573572
Tiwi_Boys_Secondary_school,Kwale,School,0.834308828,0.109573572
Todonyang_Primary_School,Turkana,School,0.651778331,0.127507926
Uhuru_Primary_School,Isiolo,School,0.713665562,0.118228933
Vithunguni_Primary_School,Kilifi,School,0.795428273,0.110627168
Watala_Primary_School,Kilifi,School,0.603685501,0.110627168
Werugha_Health_facility,Taita_Taveta,Clinic,0.258164735,0.094343541
Yapha_Primary_School,Kwale,School,0.337504407,0.109573572
Ziwani_Primary_School,Kilifi,School,0.857269332,0.110627168
Ziyaradundo_Primary_School,Kwale,School,0.258808846,0.109573572
