Site_name,County,Institution,"HT (kg 1,4-DCBeq/kWh)",CC (kg CO2eq/kWh),MD (kg Fe eq/kWh),"FE (kg 1,4-DCBeq/kWh)","ME (kg 1,4-DCBeq/kWh)",TA (kg SO2eq/kWh),PMF (kg PM10eq/kWh),"TE (kg 1,4-DCBeq/kWh)"
Kaalem_Primary_School,Turkana,School,0.881093246,0.620643002,0.298828907,0.127984425,0.117420251,0.004599982,0.002018474,0.000866973
Kadunguni_Primary_School,Kilifi,School,2.023256003,1.244584042,0.692151418,0.299167538,0.274160957,0.010032115,0.004359555,0.001976646
Kajungunyi_Primary_School,Taita_Taveta,School,0.238796611,0.147552142,0.081670083,0.035290264,0.032341569,0.001185986,0.000515546,0.000233347
Kakalel_Boys_Secondary_School,Turkana,School,0.531429618,0.374339578,0.180238054,0.077193549,0.070821788,0.00277447,0.001217438,0.000522913
Kalokoda_Primary_School,Turkana,School,1.989930719,1.401709277,0.674898855,0.289050156,0.265191189,0.010388963,0.00455868,0.001958041
Kaluweni_Primary_School,Kwale,School,0.688528229,0.41870895,0.235703176,0.101949986,0.093420058,0.003399797,0.001476217,0.000672287
Kaole_Primary_School,Kilifi,School,0.542744829,0.33386361,0.185671809,0.080252639,0.073544545,0.002691147,0.001169464,0.000530242
Kapecha_Primary_School,Kilifi,School,0.451261228,0.277588463,0.154375471,0.066725471,0.061148075,0.002237534,0.000972343,0.000440865
Karyaka_Primary_School,Kwale,School,0.650346544,0.39548984,0.222632478,0.096296445,0.088239536,0.003211265,0.001394355,0.000635006
Kasimani_Primary_School,Kilifi,School,0.354535232,0.218088512,0.121285721,0.05242314,0.048041236,0.001757928,0.000763925,0.000346368
Kasuroi_Primary_School,Turkana,School,0.926968472,0.652957559,0.31438781,0.134648095,0.123533884,0.004839486,0.002123568,0.000912113
Kavunyalo_Dispensary,Kilifi,Clinic,0.392844229,0.278714645,0.127422779,0.056462945,0.052045087,0.001970609,0.00089451,0.000484966
Kawala_Girls_Secondary_School,Kilifi,School,0.582622043,0.358393647,0.199313716,0.08614906,0.0789481,0.002888874,0.001255389,0.0005692
Kawalash_Primary_School,Isiolo,School,1.102421022,0.740392508,0.375084899,0.16119003,0.147822419,0.005649216,0.002470362,0.001081914
Kibora_Primary_School,Kilifi,School,1.03537624,0.636900493,0.354199929,0.153095288,0.14029848,0.005133811,0.002230948,0.001011524
Kidomaya_Primary_School,Kwale,School,0.496503021,0.301934257,0.16996738,0.073516922,0.067365925,0.00245162,0.001064512,0.000484791
Kikonde_Primary_School,Kwale,School,0.452121195,0.274944705,0.154774194,0.06694533,0.061344163,0.002232473,0.000969356,0.000441456
Kinna_Primary_School,Isiolo,School,1.058949812,0.711196985,0.360294366,0.154833905,0.141993412,0.005426453,0.002372949,0.001039252
Kiteje_Mixed_Secondary_School,Kwale,School,0.226337854,0.137640959,0.07748201,0.033513718,0.0307097,0.001117605,0.000485273,0.000220999
Kithengwani_Primary_School,Kilifi,School,2.250685744,1.384484986,0.76995463,0.3327963,0.304978785,0.011159803,0.004849603,0.002198836
Kituoni_Primary_School,Kwale,School,0.851751859,0.51796878,0.291579357,0.126118417,0.11556637,0.004205759,0.001826172,0.00083166
Kituu_Primary_School,Kwale,School,0.286540015,0.174251199,0.098090955,0.042427818,0.038877977,0.00141487,0.000614347,0.000279781
Kizimbani_Primary_School,Kwale,School,0.762189565,0.463504007,0.260919587,0.112856978,0.103414486,0.003763521,0.001634149,0.000744211
Kombola_primary_school,Isiolo,School,1.264157838,0.849015914,0.430113818,0.184838311,0.16950953,0.006478016,0.00283279,0.001240643
Konjora_Primary_School,Kilifi,School,1.152383478,0.708876229,0.394227847,0.170396493,0.156153525,0.00571398,0.002483067,0.001125836
Kubimatamuka_Primary_School,Isiolo,School,0.868176422,0.583072443,0.295386117,0.126940053,0.116412819,0.004448859,0.001945454,0.000852027
KulaMawe_Primary_School,Isiolo,School,0.562384529,0.377700791,0.191344269,0.082228819,0.075409521,0.002881868,0.00126022,0.000551923
Kulalu_Primary_School,Kilifi,School,0.823701233,0.506690902,0.281786376,0.12179609,0.111615494,0.004084241,0.001774848,0.000804726
Lakole_Primary_School,Isiolo,School,0.81611059,0.548104721,0.277671372,0.11932727,0.109431369,0.004182055,0.001828783,0.00080093
Lobei_Primary_School,Turkana,School,0.506812726,0.356999414,0.171889064,0.073617788,0.06754118,0.002645951,0.001161044,0.000498691
Lokitaung_Girls_Secondary_School,Turkana,School,0.341695859,0.24069092,0.115888529,0.049633507,0.045536626,0.001783914,0.000782782,0.00033622
Loruth_Primary_School,Turkana,School,0.701469994,0.494116197,0.237908431,0.101893,0.093482481,0.003662211,0.001606979,0.000690229
Lunguma_Primary_School,Kwale,School,0.644592218,0.391990509,0.220662606,0.095444406,0.087458785,0.003182851,0.001382018,0.000629387
Lwayoni_Primary_School,Kwale,School,0.314703543,0.191378051,0.107732148,0.046597976,0.042699227,0.001553935,0.00067473,0.00030728
Mabayani_Primary_School,Kwale,School,0.57208991,0.347900283,0.195842964,0.08470903,0.077621614,0.002824851,0.001226571,0.000558595
Mabesheni_Dispensary,Kwale,Clinic,0.448926356,0.316711753,0.145664775,0.06457517,0.059519585,0.002246547,0.001019465,0.000554192
Madibwani_Primary_School,Kwale,School,1.059147498,0.644090567,0.362576898,0.156827372,0.143705975,0.005229832,0.002270832,0.001034164
Maendeleo_Primary_School,Kwale,School,0.740101136,0.450071554,0.253358078,0.109586357,0.100417511,0.003654453,0.001586791,0.000722643
Mafisini_Primary_School,Kwale,School,0.622718198,0.378688443,0.213174495,0.092205532,0.0844909,0.003074842,0.001335119,0.000608029
Magale_Primary_School,Kwale,School,0.804508287,0.489238939,0.275406513,0.119123088,0.109156324,0.003972481,0.001724881,0.000785531
Magodzoni_Primary_School,Kwale,School,0.763634973,0.46438299,0.261414392,0.113070999,0.1036106,0.003770658,0.001637248,0.000745622
Maiyini_Primary_School,Kwale,School,0.796696749,0.484488574,0.272732397,0.117966438,0.108096449,0.003933909,0.001708133,0.000777904
Majoreni_Primary_School,Kwale,School,0.206251963,0.125426292,0.070606027,0.030539612,0.02798443,0.001018426,0.000442208,0.000201387
Makamini_Dispensary,Kwale,Clinic,1.184252213,0.83547466,0.384258642,0.170347066,0.15701061,0.005926313,0.002689314,0.001461939
Makonjeni_Primary_School,Kilifi,School,0.758230345,0.466417194,0.259388929,0.112115276,0.102743873,0.00375961,0.001633776,0.000740763
Malkadaka_Primary_School,Isiolo,School,0.669534369,0.44966326,0.227800655,0.097895689,0.089777125,0.003430944,0.001500327,0.00065708
Mama_Saleti_Primary_School,Isiolo,School,1.911860392,1.284016797,0.650486472,0.27954187,0.256359251,0.009797085,0.004284195,0.001876297
Mapawa_Primary_School,Kilifi,School,0.698205935,0.429493827,0.238854711,0.103239803,0.094610275,0.003461985,0.00150444,0.000682121
Maphanga_Primary_School,Kwale,School,0.842225076,0.512175337,0.288318063,0.124707791,0.114273768,0.004158718,0.001805746,0.000822358
Marafiki_Primary_School,Kilifi,School,1.639945906,1.008794983,0.561021879,0.24248962,0.222220589,0.00813151,0.003533628,0.001602166
Mataarba_Primary_School,Isiolo,School,1.116803618,0.750051945,0.379978396,0.163292975,0.149750965,0.005722918,0.002502591,0.001096029
Matagari_primary_School,Isiolo,School,0.494795762,0.332307774,0.16834804,0.072346356,0.066346618,0.002535518,0.001108764,0.000485592
Matolani_Primary_School,Kilifi,School,1.187685398,0.730591823,0.406304556,0.175616391,0.160937106,0.005889021,0.002559132,0.001160325
Mawe_Mabomu_Primary_School,Kilifi,School,0.593273131,0.364945548,0.20295743,0.087723976,0.080391374,0.002941686,0.001278339,0.000579606
Maya_Island_Primary_School,Kilifi,School,0.778465937,0.478864899,0.26631148,0.1151074,0.105485893,0.003859947,0.001677378,0.000760532
Mazola_Dispensary,Kwale,Clinic,0.860008306,0.606724766,0.279050037,0.123706665,0.114021681,0.004303711,0.00195299,0.001061665
Mbararani_Primary_School,Kwale,School,1.286389271,0.782281218,0.440368345,0.190474933,0.174538319,0.006351901,0.002758043,0.001256045
Mbilini_Primary_School,Kwale,School,2.561201483,1.557522175,0.876773528,0.379235657,0.347505854,0.012646637,0.005491264,0.002500787
Mbita_Primary_School,Kwale,School,0.317022506,0.192788262,0.108525996,0.046941343,0.043013866,0.001565386,0.000679702,0.000309544
