Site_name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Institution
AIC_Nadoto_Primary_School,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03142244783065823,0.25963982792170737,0.4407840277653426,0.5150435615092614,0.5410911642204388,0.5344444573152747,0.48205530832419213,0.39128812018349346,0.26589363178908043,0.11390844629554055,0.00014891005512742946,0.0,0.0,0.0,0.0,0.0,School
AIC_Nayanaekaton_Primary_School,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023861715994748723,0.282104596970856,0.4695853510972728,0.547019587752085,0.5685871829817228,0.5550217812189671,0.5015299978576819,0.4090318025001485,0.2765428791647973,0.11812505968573775,5.574534160725921e-05,0.0,0.0,0.0,0.0,0.0,School
A_IC_Gangani_Primary_School,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002446109219771186,0.0837644070569063,0.40710620271289105,0.5295935051492502,0.5486628175570121,0.5231653499125057,0.45766812324547873,0.35338383536969603,0.21668646045145276,0.06121797128835335,0.0,0.0,0.0,0.0,0.0,0.0,School
Abagarse_Primary_School,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005390448066886744,0.1084630572974035,0.36432427713585847,0.5014755491102109,0.5631560558815334,0.5805882422088506,0.5589728045023988,0.4916322130972448,0.38754742610373927,0.2470657893346392,0.08420975708004881,0.0,0.0,0.0,0.0,0.0,0.0,School
Akadeli_Primary_School,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015279669028667635,0.19383567912248936,0.37510693310574816,0.46808405110226303,0.48919405502313584,0.482730297991656,0.40699835791523964,0.353885879340948,0.24244993519268593,0.08159954460954631,0.0,0.0,0.0,0.0,0.0,0.0,School
Akili_Primary_School,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013606356890160274,0.03474357611440187,0.22336489362711967,0.41777169827330296,0.5343835768845682,0.5649765378189723,0.5446078890244535,0.48256511220714104,0.38047661543313865,0.24251281729693677,0.07980743882316564,0.0,0.0,0.0,0.0,0.0,0.0,School
Amason_Jeffah_King_Secondary_School,0.0,0.0,0.0,0.0,0.0,0.0,6.263931545311051e-07,0.0006683080761053794,0.011636159940438056,0.059519978744490436,0.08707978170318892,0.1582226423332928,0.2144662075112215,0.24170006566424207,0.24329278499293708,0.2187828658198415,0.15973694692552043,0.05038581845768046,1.995592200432256e-06,0.0,0.0,0.0,0.0,0.0,School
Antorita_Primary_School,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02036244407709342,0.1979669153785699,0.36739904416194613,0.4670433104452142,0.5058820014385732,0.5014675514779507,0.44797374073060725,0.34343369388170264,0.2178132834968284,0.06873761587873516,0.0,0.0,0.0,0.0,0.0,0.0,School
Bahero_Primary_School,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03501790706752333,0.1974969148619959,0.3232258690324659,0.46377787251075114,0.5159963361918618,0.5062710553474752,0.44316655372255126,0.3410459450043936,0.20141539708827752,0.04902695982459469,0.0,0.0,0.0,0.0,0.0,0.0,School
Balaga_Primary_School,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004904641918284825,0.038358766933216805,0.15384615896242898,0.24346606370521395,0.35077244732106483,0.47960618544743466,0.5033654759588989,0.4476272433210121,0.34297721610079807,0.20598115558683475,0.056519476427127374,0.0,0.0,0.0,0.0,0.0,0.0,School
Bengoni_Primary_School,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007045570942696341,0.04309101387456352,0.19459918438317317,0.37898100296240417,0.44806393195746413,0.4605369375180912,0.4139427030767125,0.3249121293803858,0.2004270581483365,0.05553506761697329,0.0,0.0,0.0,0.0,0.0,0.0,School
Biliqo_Day_Secondary_school,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017704546530704346,0.06257639121789291,0.23080445731319468,0.2974958005834012,0.3036987586289054,0.2763079078003335,0.1899560464810956,0.053599312959918426,0.0,0.0,0.0,0.0,0.0,0.0,School
Bomani_Primary_School,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012124133425287557,0.05957945545315099,0.26331792553595207,0.5007086765464941,0.541133771708399,0.5228702454171559,0.4579957830269832,0.3548870717302083,0.21698008030510169,0.06544160394545137,6.70488309907452e-07,0.0,0.0,0.0,0.0,0.0,School
Boyani_Dispensary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3290144006002775e-05,0.15917195858277355,0.9254474207800398,1.178704869278416,1.2188552961698291,1.1647641857599467,1.0213356930733546,0.7809251217662494,0.46282499232887536,0.11268127858759641,0.0,0.0,0.0,0.0,0.0,0.0,Clinic
Boyani_West_Primary_School,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001953943230486736,0.014836657834170767,0.13005128684378714,0.3169282118217172,0.47135659043841593,0.5105632367841669,0.4970408779642175,0.43589217856775425,0.3386199181938211,0.21264755578369018,0.0666631147037459,4.4865548064729476e-05,0.0,0.0,0.0,0.0,0.0,School
Bura_Primary_School,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005635701366630125,0.03522288079061814,0.11115200442248185,0.24044512008726124,0.337062274672115,0.3057826415923637,0.19672246984871317,0.058245630337840734,0.0,0.0,0.0,0.0,0.0,0.0,School
Busa_Dispensary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001596096543418653,0.0916164545841127,0.2994587126445569,0.8754036161989444,1.1381794987052982,1.2186478983382796,1.177870098975208,1.0380154418406957,0.8046406003574773,0.4932729863501778,0.1413311418837728,0.0,0.0,0.0,0.0,0.0,0.0,Clinic
Chidzaya_Primary_School,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05707090175613415,0.3680261890952539,0.5006946960472345,0.5551092512315768,0.5653242058008685,0.5407162703250734,0.4741843518755133,0.369093801738421,0.22993940494775159,0.07341602384105879,9.668644639358214e-07,0.0,0.0,0.0,0.0,0.0,School
Chingombero_Dispensary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04943815431535478,0.6267414269838424,0.9781890220599814,1.1359903777328735,1.1837624787627914,1.140831331527758,0.9978305965706171,0.7819221960665268,0.5115252287225186,0.15653951648781608,0.0,0.0,0.0,0.0,0.0,0.0,Clinic
Chumvi_yere_Primary_School,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022945159084301735,0.006214672905445199,0.011515309829493808,0.028472137991615232,0.08530847790237032,0.1287756279701404,0.14267638612555328,0.13746008866567866,0.15515235772191657,0.14056540382860425,0.05250202222094448,5.247163221830905e-06,0.0,0.0,0.0,0.0,0.0,School
Daaba_Primary_School,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01617295227410933,0.15534148072517506,0.34379464577474156,0.4728062342425915,0.5531204464866515,0.5762996727721781,0.5573345129049972,0.4980638888271531,0.39418103745659205,0.25089630942554153,0.08610095811962364,1.2040475497449683e-06,0.0,0.0,0.0,0.0,0.0,School
Dadacha_Basa_Dispensary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016533986260071882,0.012570091014627723,0.10661148119285334,0.5323991745274974,0.9749945765621395,1.1515742583571698,1.1161989768252834,0.9862403162875473,0.7563543919873478,0.4322968372515253,0.0818490566702249,0.0,0.0,0.0,0.0,0.0,0.0,Clinic
Dadachabasa_Primary_School,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6373044695535634e-05,0.05999491370034155,0.32116612161766817,0.4747552393563086,0.5436211401390134,0.5706511201262685,0.5543216655569548,0.4847985587851499,0.376737466928678,0.23802207280014775,0.07856441834993755,0.0,0.0,0.0,0.0,0.0,0.0,School
