Site_name,County,Cumu_dumped_energy,Cumu_total_energy_used,Cumu_res_supplied,Ut_rate,Institution
AIC_Nadoto_Primary_School,Turkana,19577.066470075406,4674.983424775614,26031.138944136594,17.959196617590315,School
AIC_Nayanaekaton_Primary_School,Turkana,20539.27471059684,3655.7283695924502,26031.138944136594,14.04367429883773,School
A_IC_Gangani_Primary_School,Kwale,17418.675728068753,6263.142374826954,25422.704409001923,24.6360193395052,School
Abagarse_Primary_School,Isiolo,21313.22026850801,3321.507252965968,26508.275254614462,12.530076819644357,School
Akadeli_Primary_School,Isiolo,17022.6751033173,7892.724448395401,26508.275254614462,29.77456802672013,School
Akili_Primary_School,Isiolo,19191.770549419773,5491.644489100979,26508.275254614462,20.716717464087044,School
Amason_Jeffah_King_Secondary_School,Kilifi,7914.080647294871,15902.396817072298,25522.993247306593,62.30615924623362,School
Antorita_Primary_School,Kwale,17180.985815295557,6534.408904571349,25422.704409001923,25.70304401705422,School
Bahero_Primary_School,Kilifi,16843.513438319118,6973.041241336685,25522.993247306593,27.320624872525638,School
Balaga_Primary_School,Kilifi,15480.150953460687,8333.789961682474,25522.993247306593,32.6520870061427,School
Bengoni_Primary_School,Kilifi,13836.06193423789,9999.34551459078,25522.993247306593,39.17779320670391,School
Biliqo_Day_Secondary_school,Isiolo,7753.744984767026,17036.403560958443,26508.275254614462,64.26824603759465,School
Bomani_Primary_School,Kwale,16338.099143811038,7324.790326776026,25422.704409001923,28.812002881103364,School
Boyani_Dispensary,Kilifi,38460.47398292918,15131.586204234813,57426.73480643981,26.349375870379387,Clinic
Boyani_West_Primary_School,Kwale,16396.74839121614,7373.496269336482,25422.704409001923,29.00358730806626,School
Bura_Primary_School,Kilifi,7036.45134058712,16752.28486998244,25522.993247306593,65.6360510213679,School
Busa_Dispensary,Kwale,39850.31342594248,13435.956081795555,57201.08492025433,23.488988190568424,Clinic
Chidzaya_Primary_School,Kwale,20441.32894779033,3167.0558769451445,25422.704409001923,12.457588405990835,School
Chingombero_Dispensary,Kwale,41406.1675525347,12002.826871069024,57201.08492025433,20.983565063149605,Clinic
Chumvi_yere_Primary_School,Isiolo,4877.908809077949,19938.964261881927,26508.275254614462,75.217886001131,School
Daaba_Primary_School,Isiolo,21375.020553236543,3216.0767081331796,26508.275254614462,12.132349906745958,School
Dadacha_Basa_Dispensary,Isiolo,33678.11839045006,22247.69316012129,59643.61932288255,37.30104479354736,Clinic
Dadachabasa_Primary_School,Isiolo,20272.003769968287,4395.954355435964,26508.275254614462,16.58332846332857,School
Dera_Tumaini_Primary_School,Kilifi,14885.90833619385,8853.464317708007,25522.993247306593,34.68818971161347,School
Dighai_Primary_School,Taita_Taveta,18321.90988849061,6121.768351124924,26280.97390075118,23.293536891910797,School
Dzendereni_Primary_School,Kwale,16068.777203402511,7683.882105905819,25422.704409001923,30.22448745926902,School
Dzombo_Primary_School,Kwale,20804.84997071253,2800.666252675924,25422.704409001923,11.016397813618273,School
Ekoropus_Primary_School,Turkana,17543.492380275686,6725.868110785213,26031.138944136594,25.837778843327126,School
