Site Name,County,Institution,Annual Consumption Filled (kWh),Annual Consumption Measured (kWh)
Mwangani Primary School,Kilifi,School,680.8454868,634.036498
Mchinjirini Primary School,Kwale,School,734.5716642,672.936857
Mawe Mabomu Primary School,Kilifi,School,465.534517,440.177423
Tiwi Boys Secondary school,Kwale,School,203.8109039,187.921146
Gideon Mosi Primary School,Taita Taveta,School,404.5894576,382.449195
Muhumkulu Primary School,Kilifi,School,773.6077157,734.448332
Dadachabasa Primary School,Isiolo,School,268.0344401,250.77718
Mtsamviani Secondary School,Kwale,School,1122.4597,1037.689544
Salim Mvurya Secondary School,Kwale,School,521.8867527,486.794982
Sembe Primary School,Kwale,School,278.6853524,259.089766
Ndugu Zangu Integrated Primary School,Isiolo,School,409.7016885,390.972152
Mama Saleti Primary School,Isiolo,School,148.147091,140.648553
Bomani Primary School,Kwale,School,440.363193,416.268609
Mitunguni Primary School,Kwale,School,197.2539669,183.553168
Yapha Primary School,Kwale,School,495.8812302,466.116872
Majoreni Primary School,Kwale,School,1596.274813,1489.009763
Silaloni Primary School,Kwale,School,602.0589465,566.85115
Pumwani Primary School,Kilifi,School,827.1124306,785.671769
Ngoloko Primary School,Kilifi,School,349.0724559,322.900902
Mitangani Primary School,Kilifi,School,156.7184293,147.034813
Munandanur Primary School,Isiolo,School,288.9098587,275.751086
Mwanzwani Primary School,Kwale,School,451.0466021,421.184258
Mwanza Primary School,Kilifi,School,213.0231338,199.785675
Mbita Primary School,Kwale,School,877.8800006,821.246721
Mtsangatamu Primary School,Kwale,School,414.693611,390.588662
Muchuro Primary School,Isiolo,School,72.9703319,69.012017
Kituu Primary School,Kwale,School,977.9373271,935.00351
Maphanga Primary School,Kwale,School,328.5376213,312.646531
Mataarba Primary School,Isiolo,School,251.0830364,238.868501
Jitegemee Primary School,Kwale,School,470.3593303,441.908917
Mazola Dispensary,Kwale,Clinic,550.1469801,526.312589
Mbilini Primary School,Kwale,School,108.1443696,102.869712
Makamini Dispensary,Kwale,Clinic,403.0900421,384.689263
Mbulia Dispensary,Taita Taveta,Clinic,366.3227479,347.687603
Maendeleo Primary School,Kwale,School,371.2740958,353.861541
Maiyini Primary School,Kwale,School,346.1832143,330.286694
Melikubwa Primary School,Kwale,School,373.6505223,356.193547
Boyani Dispensary,Kilifi,Clinic,917.6065809,875.553008
Kiteje Mixed Secondary School,Kwale,School,1295.302973,1231.809978
Mgange Nyika health centre,Taita Taveta,Clinic,671.4547381,639.614598
Mwamtsefu Primary School,Kwale,School,538.3937672,511.937433
Mwaluvuno Primary School,Kwale,School,525.5331266,498.820345
Kubimatamuka Primary School,Isiolo,School,324.0646429,310.786422
Magodzoni Primary School,Kwale,School,360.5541129,342.332855
Mwembe Kati Dispensary,Kilifi,Clinic,937.0663722,909.013561
Gamachu Primary School,Isiolo,School,325.3316164,313.189151
Lwayoni Primary School,Kwale,School,884.5827874,840.283242
Gozani Primary School,Kwale,School,540.6666738,516.959148
Balaga Primary School,Kilifi,School,503.4220409,475.948214
