Site_name,County,Institution,S0_EI,S1_EI,S2_EI,S3_EI,S4_EI
Lwayoni_Primary_School,Kwale,School,207.311,317.171,231.828,200.729,203.971
Mabayani_Primary_School,Kwale,School,330.406,311.645,246.207,195.025,191.692
Mabesheni_Dispensary,Kwale,Clinic,301.803,227.878,174.523,149.125,149.125
Madibwani_Primary_School,Kwale,School,611.703,479.427,334.613,244.732,330.533
Maendeleo_Primary_School,Kwale,School,427.44,299.47,231.904,231.904,231.904
Mafisini_Primary_School,Kwale,School,359.646,438.676,268.903,201.912,195.324
Magale_Primary_School,Kwale,School,464.638,325.476,309.021,235.141,235.141
Magodzoni_Primary_School,Kwale,School,441.032,327.317,239.949,239.949,239.949
Maiyini_Primary_School,Kwale,School,460.126,322.312,249.246,249.246,246.668
Majoreni_Primary_School,Kwale,School,135.869,270.258,172.85,154.391,141.542
Makamini_Dispensary,Kwale,Clinic,796.146,329.808,282.412,209.738,209.738
Makonjeni_Primary_School,Kilifi,School,437.021,716.647,497.399,335.927,331.483
Malkadaka_Primary_School,Isiolo,School,379.58,281.823,267.738,209.659,209.659
Mama_Saleti_Primary_School,Isiolo,School,1083.893,459.26,546.476,373.405,373.405
Mapawa_Primary_School,Kilifi,School,402.424,300.758,301.069,222.032,222.032
Maphanga_Primary_School,Kwale,School,554.817,489.907,412.331,405.479,328.525
Marafiki_Primary_School,Kilifi,School,945.215,622.85,473.092,332.47,332.47
Mataarba_Primary_School,Isiolo,School,633.151,443.529,342.977,251.032,347.893
Matagari_primary_School,Isiolo,School,280.515,372.548,317.807,260.285,212.504
Matolani_Primary_School,Kilifi,School,684.545,398.131,371.85,356.046,356.046
Mawe_Mabomu_Primary_School,Kilifi,School,341.944,253.727,186.743,186.743,186.743
Maya_Island_Primary_School,Kilifi,School,448.684,459.6,425.503,326.761,258.319
Mazola_Dispensary,Kwale,Clinic,578.164,332.146,264.019,176.311,170.629
Mbararani_Primary_School,Kwale,School,742.944,402.215,285.18,258.892,258.892
Mbilini_Primary_School,Kwale,School,1479.202,504.076,504.076,504.076,504.076
Mbita_Primary_School,Kwale,School,183.094,271.661,208.212,177.026,153.151
Mbulia_Dispensary,Taita_Taveta,Clinic,863.188,252.766,237.213,237.213,178.291
Mchinjirini_Primary_School,Kwale,School,226.043,392.611,324.401,244.087,205.99
Melikubwa_Primary_School,Kwale,School,431.762,508.895,303.36,227.375,227.375
Merti_Muslim_Primary_School,Isiolo,School,447.516,350.695,262.896,254.922,254.922
Mgange_Dawida_Health_centre,Taita_Taveta,Clinic,404.8,423.516,383.214,321.263,292.541
Mgange_Nyika_health_centre,Taita_Taveta,Clinic,726.188,1252.262,927.531,804.086,759.693
Mikameni_Primary_School,Kwale,School,277.43,305.713,207.912,203.455,162.238
Mitangani_Primary_School,Kilifi,School,1022.67,390.813,348.842,348.842,348.842
Mitangoni_Primary_School,Kilifi,School,367.573,272.759,200.978,200.978,200.978
Mitulani_Primary_School,Kilifi,School,391.523,416.414,262.14,217.345,217.138
Mitunguni_Primary_School,Kwale,School,827.108,316.139,282.425,282.425,282.425
Mkuluni_Primary_School,Kilifi,School,293.789,424.234,335.626,286.07,244.585
Mlilo_Primary_School,Taita_Taveta,School,516.52,279.562,259.94,182.163,182.163
Mlola_Primary_School,Kwale,School,517.345,301.546,261.419,261.419,187.218
Mogore_Primary_School,Isiolo,School,1124.944,562.418,383.544,383.544,383.544
Mrima_Wa_Kuku_Primary_School,Kilifi,School,543.945,426.257,296.911,277.716,196.812
Mtsamviani_Secondary_School,Kwale,School,145.843,258.175,185.689,140.843,140.843
Mtsangatamu_Primary_School,Kwale,School,391.296,290.268,274.697,214.723,216.367
Mtumwa_Dispensary,Kwale,Clinic,294.782,304.263,233.24,192.997,192.966
Muchuro_Primary_School,Isiolo,School,2195.912,839.351,749.673,749.673,749.673
Mugumoni_Primary_School,Kilifi,School,737.869,430.181,401.117,401.117,299.179
Muhumkulu_Primary_School,Kilifi,School,212.375,441.648,295.717,194.213,165.357
Munandanur_Primary_School,Isiolo,School,557.912,390.829,302.392,284.256,284.256
Mwaluvuno_Primary_School,Kwale,School,309.004,340.587,231.477,175.44,169.701
Mwamambi_Primary_School,Kwale,School,703.658,410.199,381.332,278.766,265.559
Mwamtsefu_Primary_School,Kwale,School,296.419,303.954,280.812,224.571,176.881
