Site_name,County,Initial_PV_size,Initial_storage_size,Final_PV_size,Final_storage_size,LCUE,Emissions_intensity,Cumulative_system_cost,Cumulative_system_GHG,Blackouts,Unmet_energy_fraction,Institution
AIC_Nadoto_Primary_School,Turkana,0.795,1.0,0.676,0.916,1.123,387.168,2831.772,1743.665,0.016,0.036,School
AIC_Nayanaekaton_Primary_School,Turkana,0.265,1.0,0.225,0.916,1.206,249.202,2449.112,902.555,0.006,0.012,School
A_IC_Gangani_Primary_School,Kwale,0.53,1.0,0.45,0.854,0.787,222.381,2640.442,1323.11,0.051,0.048,School
Abagarse_Primary_School,Isiolo,0.265,1.0,0.225,0.929,1.327,273.643,2449.112,902.555,0.004,0.008,School
Akadeli_Primary_School,Isiolo,0.53,1.0,0.45,0.9,0.605,170.599,2640.442,1323.11,0.02,0.019,School
Akili_Primary_School,Isiolo,0.53,2.0,0.45,1.868,0.984,262.178,3015.442,1433.11,0.002,0.005,School
Amason_Jeffah_King_Secondary_School,Kilifi,1.325,6.0,1.126,5.426,0.539,186.869,5089.432,3134.775,0.015,0.027,School
Antorita_Primary_School,Kwale,0.795,2.0,0.676,1.862,0.913,298.01,3206.772,1853.665,0.019,0.047,School
Bahero_Primary_School,Kilifi,0.795,2.0,0.676,1.841,0.83,271.132,3206.772,1853.665,0.01,0.02,School
Balaga_Primary_School,Kilifi,0.795,3.0,0.676,2.78,0.769,236.657,3581.772,1963.665,0.003,0.005,School
Bengoni_Primary_School,Kilifi,1.325,3.0,1.126,2.734,0.718,286.956,3964.432,2804.775,0.018,0.05,School
Biliqo_Day_Secondary_school,Isiolo,1.06,5.0,0.901,4.459,0.479,154.636,4523.102,2604.22,0.024,0.026,School
Bomani_Primary_School,Kwale,0.53,2.0,0.45,1.79,0.751,199.833,3015.442,1433.11,0.013,0.021,School
Boyani_Dispensary,Kilifi,0.795,3.0,0.676,2.641,0.434,133.966,3581.772,1963.665,0.028,0.031,Clinic
Boyani_West_Primary_School,Kwale,0.53,2.0,0.45,1.846,0.734,195.652,3015.442,1433.11,0.007,0.007,School
Bura_Primary_School,Kilifi,1.325,4.0,1.126,3.439,0.477,180.892,4339.432,2914.775,0.039,0.048,School
Busa_Dispensary,Kwale,1.06,4.0,0.901,3.659,0.567,192.212,4148.102,2494.22,0.017,0.034,Clinic
