electricity,irradiance_direct,irradiance_diffuse,temperature,irradiance_total
0.0,0.0,0.0,24.105,0.0
0.0,0.0,0.0,23.934,0.0
0.0,0.0,0.0,23.806,0.0
0.012,0.0,0.024,24.041,0.024
0.165,0.08700000000000001,0.1,25.614,0.187
0.393,0.336,0.099,27.926,0.43500000000000005
0.5750000000000001,0.5660000000000001,0.096,30.666,0.662
0.6940000000000001,0.731,0.101,33.006,0.832
0.759,0.8310000000000001,0.105,34.698,0.936
0.774,0.86,0.106,35.802,0.966
0.742,0.8140000000000001,0.106,36.354,0.92
0.66,0.6980000000000001,0.10300000000000001,36.327,0.801
0.529,0.524,0.098,35.642,0.622
0.34700000000000003,0.303,0.093,34.247,0.396
0.137,0.084,0.078,32.076,0.162
0.003,0.0,0.012,29.337,0.012
0.0,0.0,0.0,27.604,0.0
0.0,0.0,0.0,26.61,0.0
0.0,0.0,0.0,25.995,0.0
0.0,0.0,0.0,25.544,0.0
0.0,0.0,0.0,25.178,0.0
0.0,0.0,0.0,24.884,0.0
0.0,0.0,0.0,24.639,0.0
0.0,0.0,0.0,24.409,0.0
0.0,0.0,0.0,24.234,0.0
0.0,0.0,0.0,24.085,0.0
0.0,0.0,0.0,23.973,0.0
0.013000000000000001,0.0,0.025,24.19,0.025
0.165,0.073,0.114,25.709,0.187
0.382,0.291,0.132,27.981,0.423
0.552,0.492,0.14100000000000001,30.584,0.633
0.667,0.642,0.153,32.919,0.795
0.712,0.684,0.182,34.577,0.8660000000000001
0.686,0.597,0.23600000000000002,35.442,0.833
0.61,0.433,0.294,35.583,0.727
0.485,0.24,0.323,35.02,0.563
0.356,0.125,0.281,34.113,0.406
0.234,0.065,0.203,32.889,0.268
0.085,0.012,0.095,31.103,0.107
0.001,0.0,0.008,29.046,0.008
0.0,0.0,0.0,27.717,0.0
0.0,0.0,0.0,26.939,0.0
0.0,0.0,0.0,26.47,0.0
0.0,0.0,0.0,26.18,0.0
0.0,0.0,0.0,25.958,0.0
0.0,0.0,0.0,25.732,0.0
0.0,0.0,0.0,25.476,0.0
0.0,0.0,0.0,25.231,0.0
0.0,0.0,0.0,25.015,0.0
0.0,0.0,0.0,24.83,0.0
0.0,0.0,0.0,24.738,0.0
0.009000000000000001,0.0,0.02,24.82,0.02
0.124,0.021,0.124,25.961,0.145
0.295,0.10300000000000001,0.223,27.713,0.326
0.43,0.192,0.289,29.657,0.481
0.527,0.268,0.337,31.413,0.605
0.5730000000000001,0.297,0.371,32.747,0.6679999999999999
0.585,0.305,0.382,33.661,0.687
0.5640000000000001,0.294,0.367,34.188,0.661
0.501,0.247,0.333,34.248,0.5800000000000001
0.392,0.165,0.28200000000000003,33.781,0.44700000000000006
0.263,0.095,0.20400000000000001,32.819,0.29900000000000004
0.113,0.029,0.108,31.247,0.137
0.003,0.0,0.012,28.897,0.012
0.0,0.0,0.0,27.22,0.0
0.0,0.0,0.0,26.257,0.0
0.0,0.0,0.0,25.652,0.0
0.0,0.0,0.0,25.255,0.0
0.0,0.0,0.0,24.976,0.0
0.0,0.0,0.0,24.803,0.0
0.0,0.0,0.0,24.631,0.0
0.0,0.0,0.0,24.49,0.0
0.0,0.0,0.0,24.438,0.0
0.0,0.0,0.0,24.421,0.0
0.0,0.0,0.0,24.399,0.0
0.008,0.0,0.019,24.507,0.019
0.11,0.018000000000000002,0.112,25.504,0.13
0.316,0.154,0.194,27.196,0.348
0.508,0.388,0.186,29.286,0.5740000000000001
0.657,0.614,0.159,31.401,0.773
0.742,0.759,0.14300000000000002,33.214,0.902
0.766,0.81,0.135,34.506,0.9450000000000001
0.735,0.772,0.131,35.195,0.903
0.652,0.654,0.13,35.243,0.784
0.51,0.459,0.134,34.575,0.593
0.329,0.243,0.13,33.205,0.373
0.127,0.055,0.096,31.113,0.151
0.003,0.0,0.011,28.635,0.011
0.0,0.0,0.0,26.993,0.0
0.0,0.0,0.0,26.025,0.0
0.0,0.0,0.0,25.422,0.0
0.0,0.0,0.0,25.032,0.0
0.0,0.0,0.0,24.764,0.0
0.0,0.0,0.0,24.507,0.0
0.0,0.0,0.0,24.239,0.0
0.0,0.0,0.0,23.996,0.0
0.0,0.0,0.0,23.786,0.0
0.0,0.0,0.0,23.667,0.0
0.0,0.0,0.0,23.562,0.0
0.012,0.0,0.023,23.63,0.023
0.169,0.091,0.099,25.009,0.19
0.396,0.336,0.101,27.015,0.43700000000000006
0.5670000000000001,0.537,0.109,29.129,0.646
0.685,0.6920000000000001,0.117,31.012,0.809
0.755,0.799,0.11900000000000001,32.554,0.918
0.776,0.839,0.116,33.663,0.955
0.753,0.8180000000000001,0.107,34.408,0.925
0.673,0.709,0.101,34.642,0.8099999999999999
0.536,0.529,0.097,34.311,0.626
0.353,0.311,0.091,33.287,0.402
0.14200000000000002,0.093,0.075,31.456,0.16799999999999998
0.003,0.0,0.011,28.968,0.011
0.0,0.0,0.0,27.215,0.0
0.0,0.0,0.0,26.285,0.0
0.0,0.0,0.0,25.635,0.0
0.0,0.0,0.0,25.157,0.0
0.0,0.0,0.0,24.791,0.0
0.0,0.0,0.0,24.452,0.0
0.0,0.0,0.0,24.157,0.0
0.0,0.0,0.0,23.877,0.0
0.0,0.0,0.0,23.608,0.0
0.0,0.0,0.0,23.354,0.0
0.0,0.0,0.0,23.171,0.0
0.012,0.0,0.024,23.282,0.024
0.166,0.08600000000000001,0.101,24.876,0.187
0.395,0.334,0.10200000000000001,27.081,0.43600000000000005
0.5700000000000001,0.545,0.107,29.532,0.652
0.6880000000000001,0.704,0.114,31.816,0.818
0.754,0.805,0.117,33.542,0.922
0.772,0.839,0.117,34.663,0.956
0.74,0.795,0.116,35.229,0.911
0.658,0.68,0.113,35.191,0.793
0.527,0.507,0.107,34.535,0.614
0.34500000000000003,0.292,0.1,33.233,0.392
0.139,0.084,0.08,31.244,0.164
0.003,0.0,0.012,28.653,0.012
0.0,0.0,0.0,26.963,0.0
0.0,0.0,0.0,26.003,0.0
0.0,0.0,0.0,25.383,0.0
0.0,0.0,0.0,24.939,0.0
0.0,0.0,0.0,24.62,0.0
0.0,0.0,0.0,24.352,0.0
0.0,0.0,0.0,24.268,0.0
0.0,0.0,0.0,24.207,0.0
0.0,0.0,0.0,24.101,0.0
0.0,0.0,0.0,23.969,0.0
0.0,0.0,0.0,23.816,0.0
0.011,0.0,0.023,23.968,0.023
0.153,0.062,0.112,25.541,0.174
0.363,0.267,0.134,27.564,0.401
0.562,0.527,0.116,29.945,0.643
0.6960000000000001,0.723,0.108,32.154,0.831
0.764,0.8290000000000001,0.109,33.843,0.9380000000000001
0.783,0.867,0.108,35.002,0.975
0.751,0.8230000000000001,0.106,35.582,0.929
0.67,0.707,0.10300000000000001,35.483,0.8099999999999999
0.538,0.532,0.097,34.707,0.629
0.356,0.314,0.09,33.255,0.404
0.14300000000000002,0.092,0.075,31.092,0.16699999999999998
0.003,0.0,0.012,28.446,0.012
0.0,0.0,0.0,26.699,0.0
0.0,0.0,0.0,25.772,0.0
0.0,0.0,0.0,25.206,0.0
0.0,0.0,0.0,24.807,0.0
0.0,0.0,0.0,24.494,0.0
0.0,0.0,0.0,24.222,0.0
0.0,0.0,0.0,24.102,0.0
0.0,0.0,0.0,24.043,0.0
0.0,0.0,0.0,23.978,0.0
0.0,0.0,0.0,23.835,0.0
0.0,0.0,0.0,23.651,0.0
0.011,0.0,0.023,23.914,0.023
0.158,0.07100000000000001,0.109,25.608,0.18
0.372,0.28600000000000003,0.126,27.736,0.41200000000000003
0.5670000000000001,0.538,0.112,30.248,0.65
0.6970000000000001,0.727,0.107,32.569,0.834
0.765,0.834,0.109,34.316,0.943
0.777,0.856,0.113,35.479,0.969
0.744,0.808,0.113,36.029,0.921
0.661,0.6890000000000001,0.111,35.875,0.8
0.532,0.518,0.10400000000000001,35.023,0.622
0.34900000000000003,0.299,0.098,33.477,0.397
0.138,0.082,0.081,31.258,0.163
0.003,0.0,0.011,28.728,0.011
0.0,0.0,0.0,27.12,0.0
0.0,0.0,0.0,26.253,0.0
0.0,0.0,0.0,25.778,0.0
0.0,0.0,0.0,25.51,0.0
0.0,0.0,0.0,25.338,0.0
0.0,0.0,0.0,25.199,0.0
0.0,0.0,0.0,24.986,0.0
0.0,0.0,0.0,24.711,0.0
0.0,0.0,0.0,24.619,0.0
0.0,0.0,0.0,24.512,0.0
0.0,0.0,0.0,24.335,0.0
0.011,0.0,0.023,24.531,0.023
0.161,0.07200000000000001,0.111,26.213,0.183
0.364,0.267,0.137,28.318,0.404
0.561,0.52,0.123,30.632,0.643
0.681,0.686,0.126,32.655,0.812
0.752,0.796,0.127,34.196,0.923
0.768,0.8240000000000001,0.129,35.142,0.9530000000000001
0.729,0.762,0.134,35.438,0.896
0.643,0.634,0.137,35.109,0.771
0.508,0.45,0.138,34.142,0.5880000000000001
0.313,0.211,0.14300000000000002,32.476,0.354
0.126,0.054,0.096,30.423,0.15
0.003,0.0,0.011,28.24,0.011
0.0,0.0,0.0,26.898,0.0
0.0,0.0,0.0,26.131,0.0
0.0,0.0,0.0,25.726,0.0
0.0,0.0,0.0,25.555,0.0
0.0,0.0,0.0,25.437,0.0
0.0,0.0,0.0,25.302,0.0
0.0,0.0,0.0,25.115,0.0
0.0,0.0,0.0,24.959,0.0
0.0,0.0,0.0,24.896,0.0
0.0,0.0,0.0,24.841,0.0
0.0,0.0,0.0,24.72,0.0
0.01,0.0,0.021,24.768,0.021
0.146,0.052000000000000005,0.116,26.074,0.168
0.383,0.303,0.121,28.061,0.424
0.5710000000000001,0.543,0.112,30.234,0.655
0.6960000000000001,0.717,0.113,32.206,0.83
0.764,0.8230000000000001,0.115,33.774,0.9380000000000001
0.784,0.861,0.114,34.84,0.975
0.75,0.811,0.115,35.23,0.926
0.655,0.663,0.123,34.892,0.786
0.523,0.488,0.12,33.999,0.608
0.331,0.251,0.124,32.484,0.375
0.131,0.064,0.091,30.492,0.155
0.003,0.0,0.011,28.186,0.011
0.0,0.0,0.0,26.636,0.0
0.0,0.0,0.0,25.708,0.0
0.0,0.0,0.0,25.124,0.0
0.0,0.0,0.0,24.725,0.0
0.0,0.0,0.0,24.443,0.0
0.0,0.0,0.0,24.24,0.0
0.0,0.0,0.0,24.087,0.0
0.0,0.0,0.0,23.957,0.0
0.0,0.0,0.0,23.89,0.0
0.0,0.0,0.0,23.794,0.0
0.0,0.0,0.0,23.794,0.0
0.011,0.0,0.023,24.004,0.023
0.161,0.075,0.107,25.542,0.182
0.39,0.322,0.109,27.694,0.431
0.579,0.5630000000000001,0.10200000000000001,30.222,0.665
0.6990000000000001,0.731,0.106,32.55,0.837
0.766,0.834,0.109,34.33,0.943
0.782,0.868,0.109,35.576,0.977
0.752,0.8290000000000001,0.106,36.276,0.935
0.671,0.715,0.10200000000000001,36.422,0.817
0.537,0.535,0.098,35.87,0.633
0.352,0.307,0.095,34.595,0.402
0.138,0.082,0.082,32.479,0.164
0.003,0.0,0.011,29.698,0.011
0.0,0.0,0.0,27.789,0.0
0.0,0.0,0.0,26.705,0.0
0.0,0.0,0.0,26.003,0.0
0.0,0.0,0.0,25.475,0.0
0.0,0.0,0.0,25.042,0.0
0.0,0.0,0.0,24.682,0.0
0.0,0.0,0.0,24.348,0.0
0.0,0.0,0.0,24.145,0.0
0.0,0.0,0.0,24.229,0.0
0.0,0.0,0.0,24.248,0.0
0.0,0.0,0.0,24.163,0.0
0.011,0.0,0.023,24.315,0.023
0.159,0.07,0.11,25.85,0.18
0.371,0.281,0.13,27.927,0.41100000000000003
0.5740000000000001,0.549,0.11,30.413,0.659
0.704,0.738,0.106,32.642,0.844
0.769,0.839,0.11,34.226,0.949
0.778,0.85,0.11800000000000001,35.126,0.968
0.74,0.79,0.123,35.448,0.913
0.657,0.669,0.122,35.216,0.791
0.523,0.49,0.11900000000000001,34.472,0.609
0.337,0.268,0.115,33.161,0.383
0.137,0.076,0.08600000000000001,31.303,0.162
0.003,0.0,0.011,29.028,0.011
0.0,0.0,0.0,27.384,0.0
0.0,0.0,0.0,26.368,0.0
0.0,0.0,0.0,25.726,0.0
0.0,0.0,0.0,25.281,0.0
0.0,0.0,0.0,25.018,0.0
0.0,0.0,0.0,24.823,0.0
0.0,0.0,0.0,24.64,0.0
0.0,0.0,0.0,24.479,0.0
0.0,0.0,0.0,24.326,0.0
0.0,0.0,0.0,24.173,0.0
0.0,0.0,0.0,24.022,0.0
0.012,0.0,0.023,24.222,0.023
0.171,0.096,0.097,25.792,0.193
0.402,0.35100000000000003,0.096,28.194,0.44700000000000006
0.579,0.5700000000000001,0.099,31.021,0.669
0.7010000000000001,0.741,0.10300000000000001,33.402,0.844
0.764,0.838,0.108,35.133,0.946
0.78,0.87,0.109,36.343,0.979
0.749,0.8280000000000001,0.107,37.014,0.935
0.668,0.711,0.10400000000000001,37.005,0.815
0.531,0.524,0.10300000000000001,36.203,0.627
0.35000000000000003,0.304,0.097,34.685,0.401
0.14100000000000001,0.088,0.079,32.341,0.16699999999999998
0.003,0.001,0.011,29.506,0.012
0.0,0.0,0.0,27.616,0.0
0.0,0.0,0.0,26.517,0.0
0.0,0.0,0.0,25.898,0.0
0.0,0.0,0.0,25.486,0.0
0.0,0.0,0.0,25.101,0.0
0.0,0.0,0.0,24.7,0.0
0.0,0.0,0.0,24.361,0.0
0.0,0.0,0.0,24.181,0.0
0.0,0.0,0.0,24.222,0.0
0.0,0.0,0.0,24.188,0.0
0.0,0.0,0.0,24.09,0.0
0.011,0.0,0.023,24.253,0.023
0.165,0.085,0.10200000000000001,25.764,0.187
0.404,0.352,0.096,28.036,0.44799999999999995
0.583,0.5750000000000001,0.097,30.58,0.672
0.705,0.746,0.101,32.829,0.847
0.772,0.85,0.105,34.543,0.955
0.789,0.883,0.105,35.687,0.988
0.755,0.835,0.105,36.22,0.94
0.673,0.714,0.10300000000000001,36.087,0.817
0.54,0.537,0.098,35.339,0.635
0.357,0.316,0.091,33.947,0.40700000000000003
0.145,0.096,0.075,31.795,0.17099999999999999
0.003,0.001,0.011,29.106,0.012
0.0,0.0,0.0,27.314,0.0
0.0,0.0,0.0,26.296,0.0
0.0,0.0,0.0,25.672,0.0
0.0,0.0,0.0,25.266,0.0
0.0,0.0,0.0,24.953,0.0
0.0,0.0,0.0,24.664,0.0
0.0,0.0,0.0,24.459,0.0
0.0,0.0,0.0,24.453,0.0
0.0,0.0,0.0,24.472,0.0
0.0,0.0,0.0,24.414,0.0
0.0,0.0,0.0,24.322,0.0
0.01,0.0,0.021,24.436,0.021
0.139,0.037,0.123,25.755,0.16
0.331,0.177,0.188,27.569,0.365
0.527,0.417,0.182,29.715,0.599
0.649,0.58,0.184,31.759,0.764
0.715,0.675,0.19,33.382,0.865
0.725,0.685,0.199,34.401,0.8840000000000001
0.6900000000000001,0.633,0.203,34.818,0.8360000000000001
0.598,0.497,0.211,34.591,0.708
0.468,0.335,0.20400000000000001,33.757,0.539
0.292,0.151,0.179,32.276,0.32999999999999996
0.114,0.034,0.10300000000000001,30.347,0.137
0.003,0.0,0.011,28.216,0.011
0.0,0.0,0.0,26.768,0.0
0.0,0.0,0.0,25.918,0.0
0.0,0.0,0.0,25.418,0.0
0.0,0.0,0.0,25.1,0.0
0.0,0.0,0.0,24.891,0.0
0.0,0.0,0.0,24.749,0.0
0.0,0.0,0.0,24.689,0.0
0.0,0.0,0.0,24.635,0.0
0.0,0.0,0.0,24.539,0.0
0.0,0.0,0.0,24.404,0.0
0.0,0.0,0.0,24.223,0.0
0.01,0.0,0.021,24.288,0.021
0.148,0.052000000000000005,0.117,25.635,0.169
0.368,0.266,0.14,27.681,0.406
0.5680000000000001,0.528,0.122,29.931,0.65
0.6990000000000001,0.717,0.11800000000000001,31.978,0.835
0.763,0.81,0.124,33.481,0.934
0.769,0.8140000000000001,0.135,34.392,0.9490000000000001
0.736,0.767,0.135,34.769,0.902
0.659,0.663,0.128,34.667,0.791
0.526,0.489,0.123,34.02,0.612
0.336,0.26,0.12,32.747,0.38
0.14400000000000002,0.08700000000000001,0.082,30.897,0.169
0.003,0.001,0.011,28.509,0.012
0.0,0.0,0.0,26.834,0.0
0.0,0.0,0.0,25.847,0.0
0.0,0.0,0.0,25.215,0.0
0.0,0.0,0.0,24.791,0.0
0.0,0.0,0.0,24.499,0.0
0.0,0.0,0.0,24.292,0.0
0.0,0.0,0.0,24.181,0.0
0.0,0.0,0.0,24.062,0.0
0.0,0.0,0.0,23.983,0.0
0.0,0.0,0.0,23.946,0.0
0.0,0.0,0.0,23.846,0.0
0.011,0.0,0.022,24.089,0.022
0.153,0.06,0.115,25.608,0.175
0.365,0.261,0.14200000000000002,27.547,0.403
0.5710000000000001,0.535,0.12,29.986,0.655
0.7020000000000001,0.726,0.114,32.288,0.84
0.77,0.8320000000000001,0.116,33.927,0.9480000000000001
0.783,0.854,0.121,34.885,0.975
0.744,0.792,0.125,35.22,0.917
0.664,0.677,0.122,34.992,0.799
0.531,0.499,0.11900000000000001,34.126,0.618
0.336,0.26,0.121,32.567,0.381
0.14,0.079,0.085,30.482,0.164
0.003,0.001,0.011,28.119,0.012
0.0,0.0,0.0,26.527,0.0
0.0,0.0,0.0,25.583,0.0
0.0,0.0,0.0,24.988,0.0
0.0,0.0,0.0,24.547,0.0
0.0,0.0,0.0,24.126,0.0
0.0,0.0,0.0,23.732,0.0
0.0,0.0,0.0,23.409,0.0
0.0,0.0,0.0,23.148,0.0
0.0,0.0,0.0,22.964,0.0
0.0,0.0,0.0,22.791,0.0
0.0,0.0,0.0,22.586,0.0
0.012,0.0,0.023,22.896,0.023
0.164,0.082,0.10300000000000001,24.722,0.185
0.402,0.341,0.10200000000000001,26.985,0.44300000000000006
0.591,0.582,0.097,29.583,0.6789999999999999
0.713,0.754,0.1,32.148,0.854
0.779,0.861,0.10300000000000001,34.131,0.964
0.794,0.889,0.105,35.335,0.994
0.762,0.843,0.10400000000000001,35.905,0.947
0.68,0.724,0.101,35.739,0.825
0.546,0.544,0.096,34.898,0.64
0.362,0.323,0.089,33.425,0.41200000000000003
0.148,0.101,0.073,31.257,0.174
0.003,0.001,0.011,28.612,0.012
0.0,0.0,0.0,26.862,0.0
0.0,0.0,0.0,25.883,0.0
0.0,0.0,0.0,25.269,0.0
0.0,0.0,0.0,24.82,0.0
0.0,0.0,0.0,24.418,0.0
0.0,0.0,0.0,24.032,0.0
0.0,0.0,0.0,23.719,0.0
0.0,0.0,0.0,23.632,0.0
0.0,0.0,0.0,23.667,0.0
0.0,0.0,0.0,23.667,0.0
0.0,0.0,0.0,23.591,0.0
0.011,0.0,0.023,23.832,0.023
0.163,0.078,0.106,25.467,0.184
0.402,0.34,0.105,27.851,0.445
0.579,0.561,0.106,30.601,0.667
0.7020000000000001,0.734,0.11,33.06,0.844
0.77,0.841,0.112,34.805,0.953
0.782,0.862,0.117,35.983,0.979
0.749,0.8170000000000001,0.115,36.571,0.932
0.669,0.7030000000000001,0.111,36.47,0.8140000000000001
0.538,0.528,0.105,35.655,0.633
0.352,0.299,0.10200000000000001,34.109,0.401
0.14,0.083,0.083,31.888,0.166
0.003,0.001,0.011,29.332,0.012
0.0,0.0,0.0,27.62,0.0
0.0,0.0,0.0,26.65,0.0
0.0,0.0,0.0,26.085,0.0
0.0,0.0,0.0,25.704,0.0
0.0,0.0,0.0,25.346,0.0
0.0,0.0,0.0,24.911,0.0
0.0,0.0,0.0,24.473,0.0
0.0,0.0,0.0,24.212,0.0
0.0,0.0,0.0,24.007,0.0
0.0,0.0,0.0,23.898,0.0
0.0,0.0,0.0,23.791,0.0
0.012,0.0,0.024,24.102,0.024
0.169,0.084,0.106,25.878,0.19
0.381,0.293,0.129,28.164,0.422
0.5730000000000001,0.539,0.122,30.795,0.661
0.684,0.682,0.136,33.017,0.8180000000000001
0.73,0.731,0.161,34.459,0.892
0.728,0.711,0.181,35.2,0.8919999999999999
0.721,0.726,0.159,35.635,0.885
0.63,0.588,0.166,35.425,0.754
0.47200000000000003,0.361,0.185,34.503,0.546
0.307,0.191,0.157,33.237,0.348
0.131,0.06,0.096,31.541,0.156
0.003,0.001,0.011,29.333,0.012
0.0,0.0,0.0,27.665,0.0
0.0,0.0,0.0,26.622,0.0
0.0,0.0,0.0,25.908,0.0
0.0,0.0,0.0,25.395,0.0
0.0,0.0,0.0,24.997,0.0
0.0,0.0,0.0,24.622,0.0
0.0,0.0,0.0,24.357,0.0
0.0,0.0,0.0,24.164,0.0
0.0,0.0,0.0,24.112,0.0
0.0,0.0,0.0,24.038,0.0
0.0,0.0,0.0,23.962,0.0
0.011,0.0,0.023,24.207,0.023
0.156,0.064,0.113,25.617,0.177
0.385,0.298,0.128,27.911,0.426
0.554,0.497,0.138,30.552,0.635
0.674,0.66,0.14300000000000002,32.823,0.803
0.743,0.768,0.14400000000000002,34.532,0.912
0.768,0.8180000000000001,0.138,35.671,0.9560000000000001
0.742,0.787,0.132,36.176,0.919
0.659,0.669,0.129,35.982,0.798
0.527,0.492,0.125,35.18,0.617
0.339,0.264,0.122,33.727,0.386
0.135,0.07,0.09,31.687,0.16
0.003,0.001,0.011,29.246,0.012
0.0,0.0,0.0,27.561,0.0
0.0,0.0,0.0,26.607,0.0
0.0,0.0,0.0,26.053,0.0
0.0,0.0,0.0,25.742,0.0
0.0,0.0,0.0,25.557,0.0
0.0,0.0,0.0,25.39,0.0
0.0,0.0,0.0,25.178,0.0
