Maximum,Mean,Median
433.2480000000001,63.0,45.167
433.2480000000001,63.0,45.167
433.2480000000001,63.0,45.167
433.2480000000001,63.0,45.167
433.2480000000001,63.0,45.167
433.2480000000001,63.0,45.167
433.2480000000001,63.0,45.167
433.2480000000001,63.0,45.167
433.2480000000001,63.0,45.167
433.2480000000001,63.0,45.167
433.2480000000001,63.0,45.167
433.2480000000001,63.0,45.167
433.2480000000001,63.0,45.167
433.2480000000001,63.0,45.167
433.2480000000001,63.0,45.167
433.2480000000001,63.0,45.167
433.2480000000001,63.0,45.167
433.2480000000001,63.0,45.167
433.2480000000001,63.0,45.167
433.2480000000001,63.0,45.167
