Maximum,Mean,Median
654.519,62.0,37.9345
654.519,62.0,37.9345
654.519,62.0,37.9345
654.519,62.0,37.9345
654.519,62.0,37.9345
654.519,62.0,37.9345
654.519,62.0,37.9345
654.519,62.0,37.9345
654.519,62.0,37.9345
654.519,62.0,37.9345
654.519,62.0,37.9345
654.519,62.0,37.9345
654.519,62.0,37.9345
654.519,62.0,37.9345
654.519,62.0,37.9345
654.519,62.0,37.9345
654.519,62.0,37.9345
654.519,62.0,37.9345
654.519,62.0,37.9345
654.519,62.0,37.9345
