,domestic,commercial,public
0,0,0,20.1496666666666
1,0,0,20.2812222222222
2,0,0,21.778888888888797
3,0,0,21.0698888888888
4,0,0,20.9031111111111
5,0,0,22.0959999999999
6,0,0,13.784625
7,0,0,8.87675
8,0,0,9.991
9,0,0,5.866
10,0,0,5.6350909090909
11,0,0,5.733230769230699
12,0,0,5.6020769230769
13,0,0,5.7821538461538
14,0,0,4.8293076923076
15,0,0,7.4102307692307
16,0,0,7.0485
17,0,0,7.463545454545399
18,0,0,7.6950909090909
19,0,0,10.882
20,0,0,15.3901
21,0,0,19.017300000000002
22,0,0,19.1283
23,0,0,19.559
24,0,0,20.1496666666666
25,0,0,20.2812222222222
26,0,0,21.778888888888797
27,0,0,21.0698888888888
28,0,0,20.9031111111111
29,0,0,22.0959999999999
30,0,0,13.784625
31,0,0,8.87675
32,0,0,9.991
33,0,0,5.866
34,0,0,5.6350909090909
35,0,0,5.733230769230699
36,0,0,5.6020769230769
37,0,0,5.7821538461538
38,0,0,4.8293076923076
39,0,0,7.4102307692307
40,0,0,7.0485
41,0,0,7.463545454545399
42,0,0,7.6950909090909
43,0,0,10.882
44,0,0,15.3901
45,0,0,19.017300000000002
46,0,0,19.1283
47,0,0,19.559
48,0,0,20.1496666666666
49,0,0,20.2812222222222
50,0,0,21.778888888888797
51,0,0,21.0698888888888
52,0,0,20.9031111111111
53,0,0,22.0959999999999
54,0,0,13.784625
55,0,0,8.87675
56,0,0,9.991
57,0,0,5.866
58,0,0,5.6350909090909
59,0,0,5.733230769230699
60,0,0,5.6020769230769
61,0,0,5.7821538461538
62,0,0,4.8293076923076
63,0,0,7.4102307692307
64,0,0,7.0485
65,0,0,7.463545454545399
66,0,0,7.6950909090909
67,0,0,10.882
68,0,0,15.3901
69,0,0,19.017300000000002
70,0,0,19.1283
71,0,0,19.559
72,0,0,20.1496666666666
73,0,0,20.2812222222222
74,0,0,21.778888888888797
75,0,0,21.0698888888888
76,0,0,20.9031111111111
77,0,0,22.0959999999999
78,0,0,13.784625
79,0,0,8.87675
80,0,0,9.991
81,0,0,5.866
82,0,0,1.863
83,0,0,0.0
84,0,0,0.0
85,0,0,1.34
86,0,0,6.465
87,0,0,6.409
88,0,0,5.388000000000001
89,0,0,8.652
90,0,0,7.157
91,0,0,5.98
92,0,0,33.312000000000005
93,0,0,37.823
94,0,0,38.263
95,0,0,37.981
96,0,0,38.732
97,0,0,39.329
98,0,0,40.266000000000005
99,0,0,43.457
100,0,0,46.631
101,0,0,48.533
102,0,0,25.433
103,0,0,0.0
104,0,0,0.0
105,0,0,0.0
106,0,0,0.0
107,0,0,0.0
108,0,0,0.0
109,0,0,0.0
110,0,0,0.0
111,0,0,0.0
112,0,0,7.0485
113,0,0,7.463545454545399
114,0,0,7.6950909090909
115,0,0,10.882
116,0,0,15.3901
117,0,0,19.017300000000002
118,0,0,19.1283
119,0,0,19.559
120,0,0,20.1496666666666
121,0,0,20.2812222222222
122,0,0,21.778888888888797
123,0,0,21.0698888888888
124,0,0,20.9031111111111
125,0,0,22.0959999999999
126,0,0,13.784625
127,0,0,8.87675
128,0,0,9.991
129,0,0,5.866
130,0,0,5.6350909090909
131,0,0,0.0
132,0,0,0.0
133,0,0,0.0
134,0,0,0.0
135,0,0,0.0
136,0,0,0.0
137,0,0,0.0
138,0,0,0.0
139,0,0,0.0
140,0,0,0.0
141,0,0,0.0
142,0,0,0.0
143,0,0,0.0
144,0,0,0.0
145,0,0,0.0
146,0,0,0.0
147,0,0,0.0
148,0,0,0.0
149,0,0,0.0
150,0,0,0.0
151,0,0,0.0
152,0,0,0.0
153,0,0,0.0
154,0,0,0.0
155,0,0,0.0
156,0,0,0.0
157,0,0,0.0
158,0,0,0.0
159,0,0,0.0
160,0,0,0.0
161,0,0,7.463545454545399
162,0,0,7.6950909090909
163,0,0,10.882
164,0,0,15.3901
165,0,0,19.017300000000002
166,0,0,19.1283
167,0,0,19.559
168,0,0,20.1496666666666
169,0,0,20.2812222222222
170,0,0,21.778888888888797
171,0,0,21.0698888888888
172,0,0,20.9031111111111
173,0,0,22.0959999999999
174,0,0,13.784625
175,0,0,8.87675
176,0,0,9.991
177,0,0,5.866
178,0,0,5.6350909090909
179,0,0,5.733230769230699
180,0,0,5.6020769230769
181,0,0,5.7821538461538
182,0,0,4.8293076923076
183,0,0,7.4102307692307
184,0,0,7.0485
185,0,0,7.463545454545399
186,0,0,7.6950909090909
187,0,0,10.882
188,0,0,15.3901
189,0,0,19.017300000000002
190,0,0,19.1283
191,0,0,19.559
192,0,0,20.1496666666666
193,0,0,20.2812222222222
194,0,0,21.778888888888797
195,0,0,21.0698888888888
196,0,0,20.9031111111111
197,0,0,22.0959999999999
198,0,0,13.784625
199,0,0,8.87675
200,0,0,9.991
201,0,0,5.866
202,0,0,5.6350909090909
203,0,0,5.733230769230699
204,0,0,5.6020769230769
205,0,0,5.7821538461538
206,0,0,4.8293076923076
207,0,0,7.4102307692307
208,0,0,7.0485
209,0,0,7.463545454545399
210,0,0,7.6950909090909
211,0,0,10.882
212,0,0,15.3901
213,0,0,19.017300000000002
214,0,0,19.1283
215,0,0,19.559
216,0,0,20.1496666666666
217,0,0,20.2812222222222
